o_cell_id,o_cell_x,o_cell_y,역사명,호선
다사47254800,947375,1948125,당산,2호선
다사47254825,947375,1948375,당산,2호선
다사47254850,947375,1948625,당산,2호선
다사47255025,947375,1950375,망원,6호선
다사47255050,947375,1950625,망원,6호선
다사47255075,947375,1950875,망원,6호선
다사47255150,947375,1951625,마포구청,6호선
다사47255300,947375,1953125,디지털미디어시티,6호선
다사47504250,947625,1942625,구로디지털단지,2호선
다사47504375,947625,1943875,신대방,2호선
다사47504400,947625,1944125,신풍,7호선
다사47504425,947625,1944375,신풍,7호선
다사47504450,947625,1944625,신풍,7호선
다사47504475,947625,1944875,신풍,7호선
다사47504500,947625,1945125,신풍,7호선
다사47504525,947625,1945375,신풍,7호선
다사47504550,947625,1945625,영등포,경부선
다사47504575,947625,1945875,영등포,경부선
다사47504600,947625,1946125,영등포,경부선
다사47504625,947625,1946375,영등포,경부선
다사47504725,947625,1947375,영등포시장,5호선
다사47504750,947625,1947625,영등포시장,5호선
다사47504800,947625,1948125,당산,2호선
다사47504825,947625,1948375,당산,2호선
다사47505000,947625,1950125,합정,2호선
다사47505075,947625,1950875,망원,6호선
다사47505275,947625,1952875,디지털미디어시티,6호선
다사47505300,947625,1953125,디지털미디어시티,6호선
다사47505375,947625,1953875,증산(명지대앞),6호선
다사47505400,947625,1954125,증산(명지대앞),6호선
다사47505475,947625,1954875,새절(신사),6호선
다사47505500,947625,1955125,새절(신사),6호선
다사47505550,947625,1955625,응암,6호선
다사47754250,947875,1942625,신대방,2호선
다사47754275,947875,1942875,신대방,2호선
다사47754325,947875,1943375,신대방,2호선
다사47754350,947875,1943625,신대방,2호선
다사47754450,947875,1944625,신풍,7호선
다사47754475,947875,1944875,신풍,7호선
다사47754500,947875,1945125,신풍,7호선
다사47754525,947875,1945375,신풍,7호선
다사47754575,947875,1945875,영등포,경부선
다사47754600,947875,1946125,영등포,경부선
다사47754725,947875,1947375,영등포시장,5호선
다사47754950,947875,1949625,합정,2호선
다사47754975,947875,1949875,합정,2호선
다사47755100,947875,1951125,망원,6호선
다사47755225,947875,1952375,가좌,경의중앙선
다사47755250,947875,1952625,가좌,경의중앙선
다사47755300,947875,1953125,디지털미디어시티,6호선
다사47755350,947875,1953625,증산(명지대앞),6호선
다사47755550,947875,1955625,응암,6호선
다사47755575,947875,1955875,응암,6호선
다사47755600,947875,1956125,응암,6호선
다사47755675,947875,1956875,구산,6호선
다사47755700,947875,1957125,구산,6호선
다사47755725,947875,1957375,구산,6호선
다사48004250,948125,1942625,신대방,2호선
다사48004275,948125,1942875,신대방,2호선
다사48004300,948125,1943125,신대방,2호선
다사48004525,948125,1945375,신풍,7호선
다사48004575,948125,1945875,영등포,경부선
다사48004750,948125,1947625,국회의사당,9호선
다사48004775,948125,1947875,국회의사당,9호선
다사48004800,948125,1948125,국회의사당,9호선
다사48004825,948125,1948375,국회의사당,9호선
다사48004950,948125,1949625,합정,2호선
다사48004975,948125,1949875,합정,2호선
다사48005000,948125,1950125,합정,2호선
다사48005100,948125,1951125,망원,6호선
다사48005175,948125,1951875,가좌,경의중앙선
다사48005200,948125,1952125,가좌,경의중앙선
다사48005225,948125,1952375,가좌,경의중앙선
다사48005250,948125,1952625,가좌,경의중앙선
다사48005275,948125,1952875,가좌,경의중앙선
다사48005325,948125,1953375,증산(명지대앞),6호선
다사48005350,948125,1953625,증산(명지대앞),6호선
다사48005375,948125,1953875,증산(명지대앞),6호선
다사48005475,948125,1954875,새절(신사),6호선
다사48005550,948125,1955625,응암,6호선
다사48005575,948125,1955875,응암,6호선
다사48005600,948125,1956125,응암,6호선
다사48005650,948125,1956625,구산,6호선
다사48005675,948125,1956875,구산,6호선
다사48005700,948125,1957125,구산,6호선
다사48005725,948125,1957375,구산,6호선
다사48005750,948125,1957625,구산,6호선
다사48005775,948125,1957875,연신내,3호선
다사48005950,948125,1959625,구파발,3호선
다사48254250,948375,1942625,신대방,2호선
다사48254275,948375,1942875,신대방,2호선
다사48254300,948375,1943125,신대방,2호선
다사48254325,948375,1943375,신대방,2호선
다사48254550,948375,1945625,서울지방병무청,신림선
다사48254750,948375,1947625,국회의사당,9호선
다사48254775,948375,1947875,국회의사당,9호선
다사48254825,948375,1948375,국회의사당,9호선
다사48255125,948375,1951375,망원,6호선
다사48255150,948375,1951625,가좌,경의중앙선
다사48255175,948375,1951875,가좌,경의중앙선
다사48255225,948375,1952375,가좌,경의중앙선
다사48255250,948375,1952625,가좌,경의중앙선
다사48255275,948375,1952875,가좌,경의중앙선
다사48255325,948375,1953375,증산(명지대앞),6호선
다사48255350,948375,1953625,증산(명지대앞),6호선
다사48255375,948375,1953875,증산(명지대앞),6호선
다사48255450,948375,1954625,새절(신사),6호선
다사48255550,948375,1955625,응암,6호선
다사48255575,948375,1955875,응암,6호선
다사48255700,948375,1957125,구산,6호선
다사48255775,948375,1957875,연신내,3호선
다사48255800,948375,1958125,연신내,3호선
다사48255825,948375,1958375,연신내,3호선
다사48255950,948375,1959625,구파발,3호선
다사48255975,948375,1959875,구파발,3호선
다사48504275,948625,1942875,신대방,2호선
다사48504300,948625,1943125,신대방,2호선
다사48504550,948625,1945625,서울지방병무청,신림선
다사48504775,948625,1947875,국회의사당,9호선
다사48504800,948625,1948125,국회의사당,9호선
다사48504925,948625,1949375,상수,6호선
다사48505125,948625,1951375,홍대입구,2호선
다사48505175,948625,1951875,가좌,경의중앙선
다사48505225,948625,1952375,가좌,경의중앙선
다사48505250,948625,1952625,가좌,경의중앙선
다사48505275,948625,1952875,가좌,경의중앙선
다사48505375,948625,1953875,증산(명지대앞),6호선
다사48505425,948625,1954375,새절(신사),6호선
다사48505450,948625,1954625,새절(신사),6호선
다사48505550,948625,1955625,응암,6호선
다사48505700,948625,1957125,구산,6호선
다사48505775,948625,1957875,연신내,3호선
다사48505800,948625,1958125,연신내,3호선
다사48505825,948625,1958375,연신내,3호선
다사48505850,948625,1958625,연신내,3호선
다사48505900,948625,1959125,구파발,3호선
다사48506000,948625,1960125,구파발,3호선
