CELL_ID,outflow,inflow,total
다사59255125,7167.09,7262.69,14429.78
다사46504750,7089.98,7330.77,14420.75
다사42504675,7195.68,7134.04,14329.72
다사54005125,7068.0,7217.93,14285.94
다사64504600,7094.08,7183.56,14277.63
다사66004375,6995.87,7269.93,14265.81
다사58505400,7100.39,7140.05,14240.44
다사62004300,7162.3,7070.87,14233.17
다사69504300,7225.41,6995.2,14220.61
다사55504250,7189.19,7017.43,14206.63
다사58254700,7153.19,7035.25,14188.43
다사60004975,7337.95,6798.92,14136.87
다사43005150,7418.04,6718.4,14136.44
다사68755000,7218.14,6917.22,14135.35
다사53255150,7584.49,6527.94,14112.43
다사60755200,7109.1,6994.04,14103.14
다사62254350,7221.1,6878.8,14099.9
다사44254775,7195.67,6895.54,14091.21
다사67754775,7109.16,6968.94,14078.1
다사59504200,7089.84,6981.95,14071.78
다사58505300,7194.97,6865.3,14060.27
다사53254825,7056.75,6994.29,14051.04
다사68754375,7014.88,7034.49,14049.36
다사58254350,7172.67,6838.17,14010.84
다사66754900,6978.86,6999.94,13978.8
다사50505125,5333.18,8639.08,13972.26
다사63504275,7146.15,6823.84,13969.99
다사44005000,6971.04,6944.23,13915.26
다사49504725,6990.49,6924.31,13914.8
다사65254425,7150.78,6752.29,13903.07
다사58505725,6909.29,6983.95,13893.24
다사47004650,6950.53,6937.75,13888.29
다사48755375,7342.43,6502.24,13844.67
다사48255075,6836.55,7002.39,13838.94
다사60005075,8386.19,5447.29,13833.48
다사50255075,6684.45,7149.02,13833.47
다사56004525,6826.41,7000.55,13826.96
다사60006525,6876.46,6885.01,13761.48
다사54254200,6268.58,7481.38,13749.96
다사62006075,6985.75,6747.42,13733.17
다사46504275,6827.65,6867.74,13695.4
다사61505600,6972.66,6713.98,13686.64
다사47755550,6910.07,6763.19,13673.25
다사57504975,6845.54,6817.55,13663.09
다사57005225,7156.38,6498.29,13654.67
다사67754425,6808.09,6786.15,13594.25
다사62506275,6925.92,6642.34,13568.26
다사46254425,6993.94,6565.67,13559.61
다사55004375,6772.7,6783.5,13556.2
다사53255300,6590.73,6961.96,13552.69
다사41505150,6780.12,6771.04,13551.16
다사60505175,6735.55,6771.85,13507.41
다사62506225,6662.42,6844.11,13506.52
다사56004250,7166.92,6336.62,13503.54
다사62255775,6743.53,6735.22,13478.75
다사62755100,6636.04,6828.21,13464.25
다사61004875,6768.09,6681.46,13449.55
다사62255475,6627.64,6794.65,13422.29
다사47254675,6578.03,6838.89,13416.92
다사50754600,6557.25,6849.2,13406.46
다사50754975,6710.96,6666.32,13377.28
다사50005100,6010.1,7346.88,13356.98
