d_cell_id,공원명,공원종류
다사47755375,bulgwang stream(불광천) 5km,러너코스
다사46755200,상암 월드컵경기장 둘레 한 바퀴,러너코스
다사45505475,꽃향기 basic course,러너코스
다사49505900,은평뉴타운 - 앞에,러너코스
다사69504350,Segment,러너코스
다사51256175,북한산 둘레길 10코스 / Bukhansan Trail #10(NEW),러너코스
다사58255225,Cheongy 4.5k out,러너코스
다사60505900,Segment,러너코스
다사62505375,중랑천 뚝방길 (중랑교 방향),러너코스
다사45505025,성산~가양턴하고~성산 10km 구간-made by 우이리,러너코스
다사59005425,정릉천 1km TT,러너코스
다사61755525,동대문마라톤10K코스,러너코스
다사57755250,Cheongy 4.5k out,러너코스
다사44004400,옥레발 조깅코스,러너코스
다사57506100,우이천 근화교(덕성여대 앞) ~ 우이교,러너코스
다사48004325,보라매후문~1km구간,러너코스
다사52004650,Seoul Flyers 10k Loop,러너코스
다사49754925,마포대교to서강대교,러너코스
다사57254925,Segment,러너코스
다사71005025,Goduck 6km,러너코스
다사49005125,Hongdae walking path,러너코스
다사60756075,도봉 중랑천#1,러너코스
다사58006250,Segment,러너코스
다사40004700,작동 산5 4 Climb,러너코스
다사52754550,Seoul Flyers 10k Loop,러너코스
다사51505550,북한산자락길 (부분 개통),러너코스
다사48006075,End of the river track (2km),러너코스
다사60256225,상계교_창동교 서편 by psw,러너코스
다사49005925,은평뉴타운 실개천 약한 다운힐_by Jake,러너코스
다사48004725,여의도LSD코스-8Km,러너코스
다사58254100,양재천 10K,러너코스
다사51504775,마포TR 6KM,러너코스
다사53504500,Seoul National Cemetery hill climb,러너코스
다사58505225,Cheongy 4.5k out,러너코스
다사48755950,은평뉴타운 - 안에,러너코스
다사57255550,Segment,러너코스
다사58005475,고려대 녹지 운동장 1LAP,러너코스
다사57755350,안암교-보문제1교,러너코스
다사61755850,한천교 → 당현4교,러너코스
다사42004400,오류동역-문화공원 2k,러너코스
다사54504200,Bangbae to Sadang Hill,러너코스
다사54255425,감사원 업힐 - 감사원,러너코스
다사60005200,Yongdu - Sindap - Yongdap,러너코스
다사67504675,Around Seoul Olympic Park ,러너코스
다사41004075,Yeokgok Stream (역곡천),러너코스
다사47753525,Anyang - KwanAc Trail run,러너코스
다사56254750,Hannam Triangle to Bogwang Tunnel,러너코스
다사63755025,Segment,러너코스
다사59504800,잠실TR 10KM,러너코스
다사44504500,오금교-고척교,러너코스
다사61254700,잠실TR 10KM,러너코스
다사60005025,송정로 <-> 군자교,러너코스
다사65254075,대왕파출소까지,러너코스
다사60503875,서초더샵포레 1단지~서초더샵포레 7단지 ,러너코스
다사64004675,lululemon - Han River,러너코스
다사46004575,Shindorim - Ohgeumgyo Loop - Clockwise,러너코스
다사60754825,[HUMANRACE] 뚝섬TR 10K,러너코스
다사56005225,Chilly Hamnida,러너코스
다사54005350,청와대로 동행 Cheongwadae-ro Eastbound,러너코스
다사62255375,동대문마라톤10K코스,러너코스
다사58756000,둘리 VS 고길동,러너코스
다사45504925,[10k]신정교_안합_신정교_반시계,러너코스
다사48754750,여의도공원 (Start/Finish @ Entrance #12),러너코스
다사59754250,영동2교-영동3교 (시계방향),러너코스
다사69004800,일자산공원 (중간트랙 1바퀴 ccw),러너코스
다사58256050,우이천 근화교(덕성여대 앞) ~ 우이교,러너코스
다사62754175,TRB - 대모산 GOGO,러너코스
다사59004175,영동2교와 영동1교 사이,러너코스
다사61505875,한천교 → 당현4교,러너코스
다사72505100,망월천 한바퀴 (시계),러너코스
다사46255600,꽃향기 basic course,러너코스
다사45755500,꽃향기 basic course,러너코스
다사62754400,IrwonMaruPark Big Loop J.K,러너코스
다사47753950,삼성산 시민 휴식 공원 #1,러너코스
다사49753550,Anyang - KwanAc Trail run,러너코스
다사39504975,MC route A구간,러너코스
다사72505075,망월천 한바퀴 (시계),러너코스
다사59254175,시민의숲 to 대치중,러너코스
다사38755325,개화산 언덕,러너코스
다사42005275,한강안쪽 500m 직선도로,러너코스
다사55754925,Namsan loop,러너코스
다사72755050,망월천 한바퀴 (시계),러너코스
다사62004650,잠실보조운동장 400m,러너코스
다사61754350,양재천 1.5km (kooR),러너코스
다사42004175,목감천 5km run,러너코스
다사67754100,휴먼링 북-남(반시계) ,러너코스
다사68004225,휴먼링 시계방향(꿈에그린),러너코스
다사52004600,Seoul Flyers 10k Loop,러너코스
다사49004650,샛강생태공원(E2W),러너코스
다사67754475,성내천 2.7km,러너코스
다사63754775,뚝섬대회10K,러너코스
다사60006625,상도교 → 장암대교 (중랑천 서쪽),러너코스
다사46005550,꽃향기 basic course,러너코스
다사62005550,[HUMANRACE] 중랑TR 5K Course,러너코스
다사51506175,북한산 둘레길 10코스 / Bukhansan Trail #10(NEW),러너코스
다사58255275,성북천 (청계천 - 보문3교),러너코스
다사58504825,잠달(성수대교 언덕훈련) 성수->한남방향(오르막시작 즈음 왼쪽 파란색 한강 이정표->정점 바닥 초록색매트),러너코스
다사55004925,Namsan loop,러너코스
다사49255225,Segment,러너코스
다사65256025,삼육대 트랙(@y0_hee),러너코스
다사58755300,청계램프 - 제기1교,러너코스
다사59255925,둘리 VS 고길동,러너코스
다사60504750,잠실TR 10KM,러너코스
다사42504250,목감천 5km run,러너코스
다사70005200,Goduck 6km,러너코스
다사57006125,우이천 근화교(덕성여대 앞) ~ 우이교,러너코스
다사58255475,Bugaksan-ro climb,러너코스
다사56505475,Segment,러너코스
다사42004200,목감천 5km run,러너코스
다사64505025,광장동 381 22 Climb,러너코스
다사66004625,Around Seoul Olympic Park ,러너코스
다사50003750,삼막사 주차장-철탑 (런 1회전),러너코스
다사66005150,광장동 구리 왕복 10Km,러너코스
다사56005525,Segment,러너코스
다사48503550,Anyang - KwanAc Trail run,러너코스
다사55004650,Seoul Flyers 10k Loop,러너코스
다사59505900,우이천 벼루말교 -초안교,러너코스
다사40254125,Yeokgok Stream (역곡천),러너코스
다사40755350,염강나들목 to 방화대교 (4.5km) [gjpark],러너코스
다사57005725,서경대[Circle],러너코스
다사65254800,(8km) 광나루한강공원 <-> GS25 한강잠실1호점,러너코스
다사42754275,목감천 5km run,러너코스
다사50504875,마포TR 6KM,러너코스
다사45254625,Shindorim - Ohgeumgyo Loop - Clockwise,러너코스
다사42505250,성산~가양턴하고~성산 10km 구간-made by 우이리,러너코스
