CELL_ID,outflow,inflow,total
다사56754325,7193.2,7128.8,14322.0
다사58505725,7126.0,7182.35,14308.35
다사43254625,7334.6,6953.45,14288.05
다사66504775,7282.45,6995.45,14277.9
다사54254200,6545.35,7724.5,14269.85
다사58505700,6913.55,7315.0,14228.55
다사62755825,7101.85,7073.5,14175.35
다사42005100,7057.75,7092.75,14150.5
다사61754975,7213.85,6929.65,14143.5
다사56504825,6960.45,7171.5,14131.95
다사63254500,7188.65,6940.5,14129.15
다사62004300,7100.1,7024.15,14124.25
다사48005375,7023.1,7093.8,14116.9
다사59254725,7011.2,7102.2,14113.4
다사62006175,7136.15,6974.45,14110.6
다사42004425,7117.25,6976.9,14094.15
다사65254575,6889.05,7193.9,14082.95
다사64254925,7365.75,6704.95,14070.7
다사60006525,7054.6,7015.05,14069.65
다사51005075,7119.35,6949.25,14068.6
다사59005325,7057.4,7009.1,14066.5
다사42255150,7112.0,6940.5,14052.5
다사57004650,7262.15,6770.75,14032.9
다사45504525,7032.55,6993.0,14025.55
다사48755575,7110.95,6914.6,14025.55
다사68254150,6993.7,7030.8,14024.5
다사58005125,7042.35,6972.35,14014.7
다사50255050,6186.25,7822.15,14008.4
다사61755975,7086.8,6914.6,14001.4
다사48255600,7043.4,6955.55,13998.95
다사61504550,7068.25,6926.85,13995.1
다사57254625,6970.25,7021.35,13991.6
다사58754275,6901.65,7031.15,13932.8
다사66504300,6965.0,6947.85,13912.85
다사60755200,6962.9,6946.45,13909.35
다사58505675,6932.45,6976.55,13909.0
다사53255250,6993.35,6913.9,13907.25
다사62506100,6890.45,6969.2,13859.65
다사56004825,6689.9,7155.75,13845.65
다사55505700,9044.0,4783.1,13827.1
다사50754950,7014.0,6799.8,13813.8
다사53255025,6689.9,7121.8,13811.7
다사50754575,6880.65,6924.05,13804.7
다사63254325,7129.85,6632.85,13762.7
다사50255150,8336.3,5425.35,13761.65
다사59504050,7045.85,6714.75,13760.6
다사66754925,6911.8,6847.05,13758.85
다사57504975,6859.3,6891.85,13751.15
다사57004300,6859.3,6890.8,13750.1
다사46504650,6904.45,6837.6,13742.05
다사57004400,6828.85,6910.4,13739.25
다사58254600,6899.9,6819.75,13719.65
다사57004625,7066.85,6652.45,13719.3
다사53005200,6934.55,6776.35,13710.9
다사46504850,6922.3,6762.0,13684.3
다사58504400,6616.4,7059.85,13676.25
다사62255775,6792.1,6847.4,13639.5
다사53255125,6814.85,6820.8,13635.65
다사61004875,6852.3,6776.35,13628.65
다사60506075,6971.3,6645.8,13617.1
다사47254675,6688.15,6912.85,13601.0
다사64504650,6696.55,6904.1,13600.65
다사50255000,7430.5,6158.6,13589.1
다사48755050,6387.15,7192.5,13579.65
다사65254625,6609.75,6965.7,13575.45
다사47504650,6511.05,7059.15,13570.2
다사66504200,6814.85,6755.0,13569.85
다사49005025,8151.15,5417.3,13568.45
다사48255000,6683.95,6882.75,13566.7
다사43004325,6794.2,6761.65,13555.85
다사52505050,6762.0,6790.35,13552.35
다사57754550,6249.25,7284.55,13533.8
다사48505250,6877.5,6655.25,13532.75
다사45504225,6716.5,6811.0,13527.5
다사59006175,6715.45,6791.4,13506.85
다사67004850,6476.75,7026.95,13503.7
다사59504600,6794.55,6696.2,13490.75
다사58754500,6695.85,6786.85,13482.7
다사62506275,6849.5,6632.15,13481.65
다사46754275,6794.55,6669.95,13464.5
다사47255050,6784.4,6679.75,13464.15
다사60254300,6729.8,6707.75,13437.55
다사70005075,6888.0,6541.15,13429.15
다사59505325,6678.0,6748.35,13426.35
다사40505125,6625.85,6793.5,13419.35
다사60504200,6742.05,6664.7,13406.75
다사53505075,6714.75,6687.1,13401.85
다사62755475,6722.1,6631.1,13353.2
다사48505550,6515.95,6820.8,13336.75
다사50505075,6653.15,6632.5,13285.65
다사56004525,6521.2,6751.15,13272.35
다사50754875,6680.8,6575.45,13256.25
다사61505600,6700.4,6493.9,13194.3
다사56505200,6604.85,6579.3,13184.15
다사44755000,6625.5,6553.75,13179.25
다사45254575,6798.75,6378.75,13177.5
다사60754375,6663.3,6508.6,13171.9
다사57255475,6350.05,6813.45,13163.5
다사61505125,6482.35,6638.8,13121.15
다사49755650,6581.75,6535.2,13116.95
다사58256025,6460.3,6642.65,13102.95
다사57755050,6603.1,6484.1,13087.2
다사64754650,6695.5,6383.3,13078.8
다사44005000,6575.45,6484.1,13059.55
다사45754650,6494.95,6555.85,13050.8
다사47755550,6526.45,6505.8,13032.25
다사59504575,6513.5,6518.4,13031.9
다사62506125,6796.65,6229.3,13025.95
다사54505200,6407.45,6615.7,13023.15
다사57256025,6517.35,6487.25,13004.6
다사58004325,6547.1,6439.65,12986.75
다사46754300,6288.1,6692.35,12980.45
다사61255150,6582.1,6396.95,12979.05
다사43504575,6542.55,6420.75,12963.3
다사62255475,6377.7,6540.8,12918.5
다사53005300,6431.95,6484.1,12916.05
다사46754850,6347.25,6561.1,12908.35
다사59256050,6465.9,6441.75,12907.65
다사57255450,6328.7,6578.25,12906.95
다사68504450,6485.15,6410.95,12896.1
다사65004675,6689.9,6201.3,12891.2
다사56504975,6531.35,6348.3,12879.65
다사48505975,6470.1,6385.4,12855.5
다사65504700,6513.5,6338.5,12852.0
다사52254375,6577.55,6247.85,12825.4
다사42504675,6400.1,6422.85,12822.95
다사63504600,6422.5,6387.5,12810.0
다사68504925,6509.3,6293.7,12803.0
다사62754800,6461.0,6325.55,12786.55
다사53005325,6296.85,6466.95,12763.8
다사49005625,6485.15,6266.75,12751.9
다사57504350,6382.95,6343.05,12726.0
다사60256175,6335.7,6383.65,12719.35
다사52255250,6550.25,6167.35,12717.6
다사61005200,6406.4,6302.45,12708.85
다사43504775,6311.55,6371.4,12682.95
다사52504950,7379.05,5301.45,12680.5
다사62254350,6459.95,6212.15,12672.1
다사50755150,3903.9,8746.5,12650.4
다사43254525,6408.85,6233.85,12642.7
다사59754475,6328.35,6309.45,12637.8
다사63505075,6424.95,6209.7,12634.65
다사44504425,6802.25,5826.45,12628.7
다사50504500,6179.6,6424.25,12603.85
다사57755275,6323.45,6248.9,12572.35
다사66754350,6372.45,6196.05,12568.5
다사54005000,6455.75,6107.5,12563.25
다사58254700,6223.35,6324.85,12548.2
다사51254275,6487.95,6049.75,12537.7
다사46254700,6329.75,6206.9,12536.65
다사67504825,6309.45,6222.65,12532.1
다사44754500,6287.05,6242.6,12529.65
다사53005050,4991.7,7530.25,12521.95
다사43004375,6297.55,6222.65,12520.2
다사51754900,6300.35,6200.25,12500.6
다사38755225,6317.15,6182.75,12499.9
다사56005350,6156.15,6321.0,12477.15
다사59006200,6302.1,6175.05,12477.15
다사50504600,6610.1,5833.8,12443.9
다사46254425,6487.25,5955.25,12442.5
다사67754975,6389.95,6048.35,12438.3
다사64504550,6291.6,6144.6,12436.2
다사64505550,6180.3,6254.5,12434.8
다사59504950,6144.25,6279.35,12423.6
다사58255400,6319.25,6099.8,12419.05
다사57505625,6422.15,5994.45,12416.6
다사57754525,6091.05,6324.85,12415.9
다사60755300,6194.3,6169.8,12364.1
다사49255125,6002.5,6351.1,12353.6
다사53005150,6319.6,6032.25,12351.85
다사58754675,6140.4,6209.0,12349.4
다사60504425,5923.4,6415.5,12338.9
다사51504025,8166.9,4155.55,12322.45
다사61506000,6185.2,6129.55,12314.75
다사58754475,6060.6,6245.05,12305.65
다사60254925,6162.1,6137.95,12300.05
다사67004775,6154.4,6143.9,12298.3
다사62755025,6198.85,6099.1,12297.95
다사66754375,6216.7,6079.85,12296.55
다사48754500,6226.5,6065.85,12292.35
다사71005175,6198.5,6086.15,12284.65
다사57505025,5981.5,6292.65,12274.15
다사52505150,6338.15,5931.45,12269.6
다사59504650,6306.65,5961.9,12268.55
다사71255000,6230.0,6034.35,12264.35
다사66755025,6174.35,6061.3,12235.65
다사53004825,5989.2,6244.35,12233.55
다사52505000,6133.05,6091.4,12224.45
다사60505500,6805.05,5411.7,12216.75
다사63005750,6401.5,5814.2,12215.7
다사57004275,5699.05,6497.75,12196.8
다사58005875,6078.8,6105.05,12183.85
다사59505100,7021.0,5159.35,12180.35
다사62754875,6153.35,6026.3,12179.65
다사56255025,6082.3,6093.85,12176.15
다사41005025,6268.85,5897.5,12166.35
다사59754650,6092.8,6068.65,12161.45
다사60754575,5884.9,6263.25,12148.15
다사65504575,5816.65,6325.2,12141.85
다사62505675,6027.35,6105.4,12132.75
다사63755025,6084.4,6045.2,12129.6
다사58255550,6168.05,5950.0,12118.05
다사62505850,6042.4,6066.9,12109.3
다사56504225,6036.45,6057.45,12093.9
다사43504625,6055.7,6020.0,12075.7
다사62005350,6089.65,5977.3,12066.95
다사57504625,5971.7,6089.3,12061.0
다사57255250,6028.05,6014.4,12042.45
다사64754925,6319.6,5722.5,12042.1
다사52004400,6201.65,5832.05,12033.7
다사66004525,6099.1,5933.9,12033.0
다사62506225,5964.35,6067.95,12032.3
다사48505475,6103.65,5924.8,12028.45
다사52754775,5716.9,6306.3,12023.2
다사60255475,6068.65,5946.5,12015.15
다사51504425,6049.4,5925.85,11975.25
다사53254700,5987.45,5978.35,11965.8
다사47255175,6015.1,5950.0,11965.1
다사51504275,5979.05,5971.0,11950.05
다사48755275,6093.5,5853.4,11946.9
다사62255825,5897.5,6048.35,11945.85
다사58254300,5866.7,6053.25,11919.95
다사56755275,5912.55,5988.15,11900.7
다사56004450,6556.2,5326.3,11882.5
다사51004225,6107.85,5767.65,11875.5
다사54005100,5924.8,5947.55,11872.35
다사68005075,6204.1,5644.1,11848.2
다사59505650,6877.5,4965.1,11842.6
다사58255025,5996.55,5834.85,11831.4
다사51005400,5872.3,5958.4,11830.7
다사62504375,5958.05,5859.35,11817.4
다사53004900,5889.45,5920.6,11810.05
다사45755375,6049.75,5741.4,11791.15
다사59754675,5550.65,6238.75,11789.4
다사46504700,5946.15,5839.75,11785.9
다사58005100,5974.5,5804.4,11778.9
다사49755050,5917.1,5858.65,11775.75
다사55505400,5860.75,5902.05,11762.8
다사64754300,5836.6,5923.4,11760.0
다사39755125,6102.25,5656.0,11758.25
다사48755000,5598.6,6139.7,11738.3
다사49255550,5989.9,5740.0,11729.9
다사43004300,5787.6,5940.55,11728.15
다사60505375,6193.25,5533.5,11726.75
다사60006125,5810.35,5907.65,11718.0
다사47754400,5940.9,5770.45,11711.35
다사57754500,5835.2,5868.1,11703.3
다사41754775,5953.85,5742.8,11696.65
다사47254800,5975.2,5721.1,11696.3
다사52254900,5684.35,6010.55,11694.9
다사66254425,5769.4,5923.05,11692.45
