CELL_ID,mclp_green_walk_score_0_1
다사54004800,0.0
다사54004825,0.07995699666483107
다사54004650,0.2962389386010628
다사54004675,0.15058868490087432
다사54004700,0.0
다사54004725,0.0
다사53754575,0.0
다사53754600,0.0
다사53754625,0.0
다사53754650,0.45576399335394485
다사53754475,0.2896453659091945
다사53754500,0.049728345337496795
다사53754525,0.0
다사53754550,0.0
다사53754775,0.0
다사53754800,0.0
다사53754825,0.1512237848907488
다사53754850,0.19336949176602927
다사53754675,0.2065167923083908
다사53754700,0.20689717797434062
다사53754725,0.0
다사53754750,0.0
다사53754175,0.0
다사53754200,0.47985827832698047
다사53754225,0.0
다사53754250,0.0
다사53754075,0.0
다사53754100,0.0
다사53754125,0.04157054155153036
다사53754150,0.707548302107794
다사53754375,0.0
다사53754400,0.0
다사53754425,0.0
다사53754450,0.0
다사53754275,0.3257208126422811
다사53754300,0.010398603872876019
다사53754325,0.7414519534098811
다사53754350,0.0
다사53755375,0.0
다사53755400,0.0
다사53755425,0.0
다사53755450,0.0
다사53755275,0.0
다사53755300,0.0
다사53755325,0.0
다사53755350,0.0
다사53755575,0.0
다사53755600,0.0
다사53755625,0.0
다사53755650,0.0
다사53755475,0.0
다사53755500,0.0
다사53755525,0.0
다사53755550,0.0
다사53754975,0.7233536219897634
다사53755000,0.5577261136051161
다사53755025,0.4052418984602259
다사53755050,0.7807516896069268
다사53754875,0.0024332668299838194
다사53754900,0.0
다사53754925,0.06556569292118805
다사53754950,0.29848448019465723
다사53755175,0.7648259998157478
다사53755200,0.8042886344315098
다사53755225,0.40107316800246656
다사53755250,0.0
다사53755075,1.0
다사53755100,0.47297726499890985
다사53755125,0.46871890816761264
다사53755150,0.5324177109871938
다사53504975,0.0
다사53505000,0.0
다사53505025,0.0001781608998861849
다사53505050,0.4295566410068128
다사53504875,0.3900381559845179
다사53504900,0.04001443805735197
다사53504925,0.0
다사53504950,0.3272788308024041
다사53505175,0.5661213669367469
다사53505200,0.06974174803684201
다사53505225,0.0858411018473292
다사53505250,0.0
다사53505075,0.3962740086452544
다사53505100,0.7232496438507363
다사53505125,0.9063116415767618
다사53505150,1.0
다사53504575,0.0
다사53504600,0.0
다사53504625,0.0
다사53504650,0.0
다사53504475,0.0812325758725146
다사53504500,0.37220879237518995
다사53504525,0.0
다사53504550,0.0
다사53504775,0.0
다사53504800,0.0
다사53504825,0.040923386045721856
다사53504850,0.35848008330624476
다사53504675,0.6402210324464024
다사53504700,0.2359951016683848
다사53504725,0.0
다사53504750,0.0
다사53505775,0.0
다사53505800,0.0
다사53505825,0.0
다사53505850,0.0
다사53505675,0.0
다사53505700,0.0
다사53505725,0.0
다사53505750,0.0
다사53753975,0.0
다사53754000,0.0
다사53754025,0.0
다사53754050,0.0
다사53505875,0.0
다사53505900,0.0
다사53505925,0.0
다사53753950,0.0
다사53505375,0.0
다사53505400,0.0
다사53505425,0.0
다사53505450,0.0
다사53505275,0.0
다사53505300,0.0
다사53505325,0.0
다사53505350,0.0
다사53505575,0.0
다사53505600,0.0
다사53505625,0.0
다사53505650,0.0
다사53505475,0.0
다사53505500,0.0
다사53505525,0.0
다사53505550,0.0
다사53255375,0.0
다사53255400,0.0
다사53255425,0.0
다사53255450,0.0
다사53255275,0.0
다사53255300,0.0
다사53255325,0.0
다사53255350,0.0
다사53255575,0.0
다사53255600,0.0
다사53255625,0.0
다사53255650,0.0
다사53255475,0.0
다사53255500,0.0
다사53255525,0.0
다사53255550,0.0
다사53254975,0.5259448721186537
다사53255000,0.5310106058696312
다사53255025,0.49057682504460787
다사53255050,0.2708862420973746
다사53254875,0.34261542728260647
다사53254900,0.812520452866562
다사53254925,1.0
다사53254950,0.9062928759467037
다사53255175,0.4865655822324554
다사53255200,0.34518674504574703
다사53255225,0.0
다사53255250,0.0
다사53255075,0.4231120681951404
다사53255100,0.4461933546166731
다사53255125,1.0
다사53255150,0.565428654042457
다사53504175,0.014029853719719123
다사53504200,0.5300418973769404
다사53504225,0.0
다사53504250,0.0030272787213260093
다사53504075,0.0
다사53504100,0.0
다사53504125,0.0
다사53504150,0.0
다사53504375,0.0
다사53504400,0.0
다사53504425,0.0
다사53504450,0.0
다사53504275,0.6103957482871116
다사53504300,1.0
다사53504325,0.7552542277236769
다사53504350,0.0
다사53255775,0.0
다사53255800,0.0
다사53255825,0.0
다사53255850,0.0
다사53255675,0.0
다사53255700,0.0
다사53255725,0.0
다사53255750,0.0
다사53503975,0.0
다사53504000,0.0
다사53504025,0.0
다사53504050,0.0
다사53255875,0.0
다사53255900,0.0
다사53255925,0.0
다사53503950,0.0
다사53005800,0.0
다사53005825,0.0
다사53005850,0.0
다사53005875,0.0
다사53005700,0.0
