CELL_ID,공원겹침비율
다사67504725,0.0
다사67504950,0.0
다사67504975,0.0
다사67505000,0.0
다사67505025,0.0
다사67504850,0.0
다사67504875,0.0
다사67504900,0.0
다사67504925,0.0
다사67754875,0.0
다사67754900,0.0
다사67754925,0.0
다사67754950,0.0
다사67754775,0.0
다사67754800,0.0
다사67754825,0.0
다사67754850,0.0
다사67755075,0.0
다사67755100,0.0
다사67755125,0.0
다사67755150,0.0
다사67754975,0.0
다사67755000,0.0
다사67755025,0.0
다사67755050,0.0
다사67754475,0.147
다사67754500,0.127
다사67754525,0.107
다사67754550,0.113
다사67754375,0.221
다사67754400,0.035
다사67754425,0.0
다사67754450,0.142
다사67754675,0.0
다사67754700,0.0
다사67754725,0.0
다사67754750,0.0
다사67754575,0.118
다사67754600,0.011
다사67754625,0.0
다사67754650,0.0
다사67254675,1.0
다사67254700,0.316
다사67254725,0.0
다사67254750,0.0
다사67254575,0.0
다사67254600,0.003
다사67254625,0.303
다사67254650,0.792
다사67254875,0.0
다사67254900,0.0
다사67254925,0.0
다사67254950,0.0
다사67254775,0.0
다사67254800,0.0
다사67254825,0.0
다사67254850,0.0
다사67254275,0.012
다사67254300,0.114
다사67254325,0.213
다사67254350,0.115
다사67254175,0.0
다사67254200,0.0
다사67254225,0.096
다사67254250,0.125
다사67254475,0.916
다사67254500,0.401
다사67254525,0.022
다사67254550,0.006
다사67254375,0.346
다사67254400,0.0
다사67254425,0.0
다사67254450,0.441
다사67504350,0.245
다사67504375,0.0
다사67504400,0.0
다사67504425,0.074
다사67504250,0.122
다사67504275,0.455
다사67504300,0.061
다사67504325,0.134
다사67504550,0.075
다사67504575,0.001
다사67504600,0.114
다사67504625,0.049
다사67504450,0.892
다사67504475,0.201
다사67504500,0.314
다사67504525,0.059
다사67255075,0.0
다사67255100,0.0
다사67255125,0.0
다사67255150,0.214
다사67254975,0.0
다사67255000,0.0
다사67255025,0.0
다사67255050,0.0
다사67504150,0.0
다사67504175,0.0
다사67504200,0.0
다사67504225,0.0
다사67255175,0.059
다사67255200,0.0
다사67504100,0.0
다사67504125,0.0
다사67004175,0.0
다사67004200,0.0
다사67004225,0.0
다사67004250,0.0
다사66755175,0.0
다사67004100,0.0
다사67004125,0.0
다사67004150,0.0
다사67004375,0.0
다사67004400,0.0
다사67004425,0.0
다사67004450,0.002
다사67004275,0.212
다사67004300,0.175
다사67004325,0.0
다사67004350,0.0
다사66754875,0.0
다사66754900,0.0
다사66754925,0.106
다사66754950,0.114
다사66754775,0.04
다사66754800,0.0
다사66754825,0.0
다사66754850,0.0
다사66755075,0.34
다사66755100,0.569
다사66755125,0.116
다사66755150,0.0
다사66754975,0.0
다사66755000,0.0
다사66755025,0.0
다사66755050,0.062
다사67004975,0.0
다사67005000,0.0
다사67005025,0.0
다사67005050,0.0
다사67004875,0.0
다사67004900,0.0
다사67004925,0.076
다사67004950,0.134
다사67005175,0.0
다사67254100,0.0
다사67254125,0.0
다사67254150,0.0
다사67005075,0.0
다사67005100,0.008
다사67005125,0.355
다사67005150,0.137
다사67004575,0.051
다사67004600,0.808
다사67004625,1.0
다사67004650,1.0
다사67004475,0.143
다사67004500,0.0
다사67004525,0.0
다사67004550,0.0
다사67004775,0.103
다사67004800,0.0
다사67004825,0.0
다사67004850,0.0
다사67004675,1.0
다사67004700,0.856
다사67004725,0.022
다사67004750,0.0
다사66504775,0.0
다사66504800,0.0
다사66504825,0.0
다사66504850,0.016
다사66504675,1.0
다사66504700,1.0
다사66504725,0.83
다사66504750,0.0
다사66504975,0.266
다사66505000,0.546
다사66505025,0.799
다사66505050,0.763
다사66504875,0.288
다사66504900,0.0
다사66504925,0.0
다사66504950,0.006
다사66504375,0.0
다사66504400,0.0
다사66504425,0.036
다사66504450,0.0
다사66504275,0.0
다사66504300,0.0
다사66504325,0.0
다사66504350,0.079
다사66504575,0.0
다사66504600,0.223
다사66504625,1.0
다사66504650,1.0
다사66504475,0.179
다사66504500,0.0
다사66504525,0.0
다사66504550,0.0
다사66754475,0.0
다사66754500,0.0
다사66754525,0.0
다사66754550,0.0
다사66754375,0.001
다사66754400,0.007
다사66754425,0.393
다사66754450,0.0
다사66754675,1.0
다사66754700,1.0
다사66754725,0.439
다사66754750,0.0
다사66754575,0.0
다사66754600,0.72
다사66754625,1.0
다사66754650,1.0
다사66754075,0.0
다사66754100,0.123
다사66754125,0.003
다사66754150,0.0
다사66505075,0.361
다사66505100,0.008
다사66505125,0.0
다사66505150,0.0
다사66754275,0.0
다사66754300,0.012
다사66754325,0.0
다사66754350,0.103
다사66754175,0.0
다사66754200,0.0
다사66754225,0.0
다사66754250,0.0
다사66254350,0.0
다사66254375,0.0
다사66254400,0.0
다사66254425,0.0
다사66254250,0.0
다사66254275,0.0
다사66254300,0.0
다사66254325,0.0
다사66254550,0.016
다사66254575,0.0
다사66254600,0.0
다사66254625,0.768
다사66254450,0.111
다사66254475,0.066
다사66254500,0.0
다사66254525,0.299
다사66005725,0.0
다사66005750,0.0
다사66005775,0.0
다사66254025,0.0
다사66005625,0.0
다사66005650,0.0
다사66005675,0.0
다사66005700,0.0
다사66254150,0.143
다사66254175,0.297
다사66254200,0.064
다사66254225,0.0
다사66254050,0.0
다사66254075,0.0
다사66254100,0.0
다사66254125,0.0
다사66255600,0.0
다사66255625,0.0
다사66255650,0.0
다사66504050,0.0
다사66255050,0.0
다사66255075,0.0
다사66255100,0.0
다사66255125,0.0
다사66504175,0.0
다사66504200,0.0
다사66504225,0.0
다사66504250,0.0
다사66504075,0.0
다사66504100,0.009
다사66504125,0.242
다사66504150,0.169
다사66254750,0.0
다사66254775,0.0
다사66254800,0.0
다사66254825,0.0
다사66254650,1.0
다사66254675,1.0
다사66254700,1.0
다사66254725,0.629
다사66254950,0.839
다사66254975,0.736
다사66255000,0.387
다사66255025,0.121
다사66254850,0.004
다사66254875,0.063
다사66254900,0.194
다사66254925,0.4
다사66004175,0.0
다사66004200,0.179
다사66004225,0.16
다사66004250,0.001
다사66004075,0.0
다사66004100,0.0
다사66004125,0.185
다사66004150,0.668
다사66004375,0.0
다사66004400,0.0
다사66004425,0.0
다사66004450,0.002
다사66004275,0.0
다사66004300,0.0
다사66004325,0.0
다사66004350,0.0
다사65755700,0.0
다사65755725,0.0
다사65755750,0.0
다사65755775,0.0
다사65755600,0.701
다사65755625,0.832
다사65755650,0.006
다사65755675,0.0
다사65756000,0.0
다사66004000,0.0
다사66004025,0.0
다사66004050,0.0
다사65755900,0.0
다사65755925,0.0
다사65755950,0.0
다사65755975,0.0
다사66004975,0.0
다사66005000,0.0
다사66005025,0.0
다사66005050,0.0
다사66004875,0.023
다사66004900,0.629
다사66004925,0.654
다사66004950,0.125
다사66005525,0.0
다사66005550,0.0
다사66005575,0.0
다사66005600,0.0
다사66005075,0.0
다사66005100,0.0
다사66005475,0.0
다사66005500,0.0
다사66004575,0.0
다사66004600,0.0
다사66004625,0.315
다사66004650,1.0
다사66004475,0.0
다사66004500,0.0
다사66004525,0.104
다사66004550,0.066
다사66004775,0.0
다사66004800,0.0
다사66004825,0.0
다사66004850,0.0
다사66004675,0.985
다사66004700,0.654
다사66004725,0.241
다사66004750,0.001
다사65754175,0.0
다사65754200,0.0
다사65754225,0.012
다사65754250,0.159
다사65754075,0.0
다사65754100,0.0
다사65754125,0.352
다사65754150,0.441
다사65754375,0.0
다사65754400,0.0
다사65754425,0.0
다사65754450,0.0
다사65754275,0.107
다사65754300,0.0
다사65754325,0.0
다사65754350,0.169
다사65505775,0.0
다사65505800,0.0
다사65505875,0.0
다사65505900,0.0
다사65505675,0.0
다사65505700,0.0
다사65505725,0.0
다사65505750,0.0
다사65506025,0.0
다사65754000,0.0
다사65754025,0.0
다사65754050,0.0
다사65505925,0.0
다사65505950,0.0
다사65505975,0.0
다사65506000,0.0
다사65754975,0.0
다사65755000,0.0
다사65755025,0.0
다사65755050,0.0
다사65754875,0.605
다사65754900,0.275
다사65754925,0.0
다사65754950,0.0
다사65755500,0.132
다사65755525,0.0
다사65755550,0.0
다사65755575,0.042
다사65755075,0.0
다사65755100,0.0
다사65755450,0.003
다사65755475,0.297
다사65754575,0.0
다사65754600,0.11
다사65754625,0.009
다사65754650,0.521
다사65754475,0.0
다사65754500,0.005
다사65754525,0.085
다사65754550,0.0
다사65754775,0.0
다사65754800,0.0
다사65754825,0.0
다사65754850,0.063
다사65754675,0.139
다사65754700,0.0
다사65754725,0.025
다사65754750,0.0
다사65504325,0.206
다사65504350,0.0
다사65504375,0.0
다사65504400,0.0
다사65504225,0.0
다사65504250,0.0
다사65504275,0.072
다사65504300,0.157
다사65504525,0.09
다사65504550,0.0
다사65504575,0.0
다사65504600,0.0
다사65504425,0.0
다사65504450,0.0
다사65504475,0.0
다사65504500,0.001
다사65255975,0.0
다사65256000,0.0
다사65256025,0.0
다사65256050,0.0
다사65255875,0.0
다사65255900,0.0
다사65255925,0.0
다사65255950,0.0
다사65504125,0.0
다사65504150,0.0
다사65504175,0.0
다사65504200,0.0
다사65504025,0.0
다사65504050,0.0
다사65504075,0.0
다사65504100,0.0
다사65505375,0.017
다사65505400,0.224
다사65505425,0.417
다사65505450,0.791
다사65505025,0.0
다사65505050,0.0
다사65505075,0.0
다사65505100,0.0
다사65505575,0.069
다사65505600,0.737
다사65505625,0.822
다사65505650,0.0
다사65505475,1.0
다사65505500,0.985
다사65505525,0.644
다사65505550,0.188
다사65504725,0.0
다사65504750,0.0
다사65504775,0.0
다사65504800,0.0
다사65504625,0.0
다사65504650,0.0
