CELL_ID,4월_유출,4월_유입,4월_총이동,9월_유출,9월_유입,9월_총이동,일평균_유출,일평균_유입,일평균_총이동
다사53505150,9911.3,9922.5,19833.8,7727.51,7668.9,15396.41,8819.404999999999,8795.7,17615.105
다사60004525,8282.05,8319.5,16601.55,9218.07,9297.06,18515.13,8750.06,8808.279999999999,17558.34
다사45504875,8539.3,8523.2,17062.5,9026.98,8984.61,18011.58,8783.14,8753.905,17537.04
다사58755625,9363.2,8876,18239.2,8585.61,8156.06,16741.68,8974.405,8516.03,17490.440000000002
다사46504250,10143.35,9279.2,19422.55,7969.24,7365.85,15335.09,9056.295,8322.525000000001,17378.82
다사59254500,9728.25,9875.25,19603.5,7516.24,7565.92,15082.15,8622.244999999999,8720.585,17342.825
다사51504400,6730.5,10688.3,17418.8,6640.09,10513.14,17153.23,6685.295,10600.72,17286.015
다사50004575,11706.8,11992.75,23699.55,5346.74,5495.39,10842.13,8526.77,8744.07,17270.84
다사49004375,11517.8,11591.3,23109.1,5704.34,5703.6,11407.95,8611.07,8647.45,17258.525
다사67254850,9271.85,9252.6,18524.45,8017.55,7935.83,15953.38,8644.7,8594.215,17238.915
다사61254450,8097.95,8313.2,16411.15,8834.33,8995.3,17829.63,8466.14,8654.25,17120.39
다사56255175,9077.95,9267.65,18345.6,7822.18,8008.55,15830.72,8450.065,8638.1,17088.16
다사49504725,10027.85,10077.9,20105.75,6990.49,6924.31,13914.8,8509.17,8501.105,17010.275
다사51755100,9088.8,8596.7,17685.5,8445.02,7860.6,16305.62,8766.91,8228.650000000001,16995.56
다사66754200,9053.8,9069.2,18123,7905.79,7946.11,15851.9,8479.795,8507.655,16987.45
다사48754700,10559.5,10326.05,20885.55,6612.18,6432.66,13044.83,8585.84,8379.355,16965.19
다사58505400,9907.8,9778.3,19686.1,7100.39,7140.05,14240.44,8504.095,8459.175,16963.27
다사57755950,8472.45,8508.15,16980.6,8403.19,8501.41,16904.6,8437.82,8504.779999999999,16942.6
다사42004425,7117.25,6976.9,14094.15,9878.18,9742.07,19620.26,8497.715,8359.485,16857.204999999998
다사57504650,8912.05,9710.05,18622.1,7172.46,7864.03,15036.48,8042.254999999999,8787.039999999999,16829.29
다사67754825,9473.45,9328.9,18802.35,7472.77,7373.89,14846.66,8473.11,8351.395,16824.504999999997
다사57505250,11056.85,11069.8,22126.65,5799.41,5707.8,11507.21,8428.130000000001,8388.8,16816.93
다사49505575,9154.6,9140.25,18294.85,7627.25,7640.41,15267.66,8390.925,8390.33,16781.254999999997
다사60754600,10722.25,10700.9,21423.15,6052.79,6045.23,12098.01,8387.52,8373.064999999999,16760.58
다사61256200,8687.7,8856.75,17544.45,7863.71,8104.55,15968.26,8275.705,8480.65,16756.355
다사61005500,9378.95,8238.3,17617.25,8378.04,7478.9,15856.94,8878.495,7858.599999999999,16737.095
다사57005175,8869.7,9043.3,17913,7683.27,7875.75,15559.02,8276.485,8459.525,16736.010000000002
다사54755200,8808.45,9163.7,17972.15,7554.26,7919.98,15474.24,8181.3550000000005,8541.84,16723.195
다사46004175,9390.5,9222.5,18613,7399.06,7394.54,14793.6,8394.78,8308.52,16703.3
다사69755050,8460.55,8580.25,17040.8,8087,8158.31,16245.31,8273.775,8369.28,16643.055
다사60005375,9500.4,9191,18691.4,7375.79,7180.45,14556.24,8438.095,8185.725,16623.82
다사48754800,11748.8,11902.1,23650.9,4734.02,4778.23,9512.25,8241.41,8340.165,16581.575
