역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m,cluster,cluster_label
신풍,7호선,1,3,491529.4,0,0,22009,37.50008,126.90993,1.0,81.0,148.0,81.0,148.0,1.0,0.43,-0.1,413.09,413.09,2,도심공원형
신대방삼거리,7호선,1,2,735172.4,0,0,28270,37.499701,126.928276,1.0,179.33333333333334,30132.666666666668,128.46110131203736,21584.807874359765,3.0,0.33,-0.7,776.18,776.18,2,도심공원형
상도,7호선,1,2,716146.6,0,0,23304,37.502834,126.94791,3.0,462.8333333333333,1442.5,380.4462495951226,1236.2399160655257,2.333333333333333,0.91,-2.4,547.3333333333334,423.68,2,도심공원형
남성,7호선,1,3,471086.2,0,0,21242,37.484596,126.971251,3.0,126.83333333333334,202.0,159.10820295580504,235.9305185190796,2.6666666666666665,1.8866666666666667,4.166666666666667,579.62,281.96,2,도심공원형
반포,7호선,1,2,678271.8,0,0,12630,37.508178,127.011727,2.0,171.03333333333333,570.7333333333333,138.16964738158777,473.6136072655113,5.5,1.0875,3.2,578.135,428.54,2,도심공원형
청담,7호선,1,3,399038.6,0,0,35554,37.519365,127.05335,4.0,994.9166666666666,2085.5,500.69075408165446,1148.247917753145,3.75,2.713,3.3,606.3975,249.63,2,도심공원형
어린이대공원(세종대),7호선,1,2,543093.3,0,0,32126,37.548014,127.074658,5.0,3365.0,50787.33333333333,4302.633274977297,64087.2411126229,2.6,1.2204000000000002,0.14,368.806,252.86,2,도심공원형
중곡,7호선,1,2,133123.5,1,0,20364,37.565923,127.08432,2.0,251.0,777.7142857142857,240.6862476851817,764.8890677383915,4.0,5.576,8.45,741.31,726.85,3,도시자연공원인접형
용마산,7호선,1,3,278908.8,1,0,11002,37.573647,127.086727,1.0,44.0,54.71428571428572,31.83250294779853,39.58392412015208,7.0,9.87,0.0,799.84,799.84,3,도시자연공원인접형
사가정,7호선,1,1,83013.4,1,0,31045,37.580894,127.088478,1.0,141.0,375.0,141.0,375.0,1.0,1.48,15.9,666.38,666.38,3,도시자연공원인접형
중화,7호선,1,4,1151333.6,0,0,20545,37.602545,127.079264,6.0,1112.0761904761905,9107.257142857145,1074.8438772264328,9496.674696606678,5.666666666666667,3.8906666666666654,0.0999999999999999,569.335,454.99,2,도심공원형
먹골,7호선,1,5,1159333.6,0,0,19618,37.610637,127.077725,6.0,1112.0761904761905,9107.257142857145,1091.106184442394,9040.530326200202,5.666666666666667,3.8906666666666654,0.0999999999999999,536.6,411.67,2,도심공원형
하계,7호선,1,3,56069.0,0,0,33818,37.636352,127.06799,4.0,1152.611111111111,10942.055555555557,835.6341467764075,7799.819816048223,4.5,4.273325,0.2,612.5125,539.28,2,도심공원형
중계,7호선,1,10,235552.3,0,0,27052,37.644583,127.064303,5.0,2654.027777777778,32570.722222222223,2211.473504636333,27647.5339585034,4.6,3.72894,0.0,612.408,211.14,2,도심공원형
마들,7호선,1,4,68105.3,1,0,24952,37.66494,127.057675,5.0,1021.6111111111112,8313.722222222223,929.5587298382986,7807.285500538559,5.0,4.68812,-0.0399999999999999,505.794,240.3,3,도시자연공원인접형
수락산,7호선,1,1,13144.4,1,0,24314,37.67785,127.055315,2.0,205.3333333333333,428.83333333333337,198.27313840903585,409.6887798767839,3.5,4.285,7.65,569.06,514.39,3,도시자연공원인접형
화랑대(서울여대입구),6호선,1,3,1091240.5,0,0,20223,37.620064,127.084689,5.0,855.0,7967.2,1478.9306897155475,13642.560946916652,3.0,1.8213,0.86,467.494,16.85,2,도심공원형
상월곡(한국과학기술연구원),6호선,1,2,1009155.6,0,0,12216,37.606377,127.048491,4.0,141.0,10830.0,149.2252308865027,11271.487566897446,1.75,0.41845,2.75,475.5275,351.61,2,도심공원형
월곡(동덕여대),6호선,1,3,1165792.2,0,0,22637,37.601948,127.041518,2.0,110.5,10402.0,105.80701366961122,9978.880104794349,2.0,0.34665,0.05,706.79,680.16,2,도심공원형
고려대(종암),6호선,1,3,518081.5,0,0,16933,37.590508,127.036296,4.0,1087.3333333333337,10000.5,1184.343366345124,11916.557447206254,3.25,1.1655,2.375,412.7425,207.8,2,도심공원형
창신,6호선,1,4,289630.3,0,0,6384,37.579661,127.015241,5.0,6181.619047619048,81399.5,3906.286687786683,51893.93274007866,4.8,0.8886,-0.6,675.6600000000001,568.63,2,도심공원형
버티고개,6호선,1,1,96582.0,1,0,4430,37.548013,127.007055,2.0,4389.5,12757.75,4371.369547153443,12702.406075744144,5.0,4.827,2.7,551.28,420.03,3,도시자연공원인접형
한강진,6호선,1,1,28313.9,1,0,22423,37.539631,127.001725,2.0,4389.5,12757.75,4419.686702431144,12837.830022541477,5.0,4.827,2.7,494.3250000000001,312.7,3,도시자연공원인접형
마포구청,6호선,1,1,2284085.0,0,0,27010,37.563515,126.903343,6.0,3552.1666666666665,151066.0,3876.8181773547017,152222.77649287312,2.6666666666666665,3.137,0.45,447.03833333333336,2.56,2,도심공원형
월드컵경기장(성산),6호선,1,2,2360478.6,0,0,11987,37.569532,126.899298,7.0,20641.666666666664,110430.0,21051.526874005496,113789.66629621552,2.2857142857142856,3.584714285714285,-1.5285714285714285,427.73857142857145,30.31,2,도심공원형
새절(신사),6호선,1,1,111650.0,1,0,23600,37.591148,126.913629,2.0,1000.0,9720.5,2098.666268484945,20547.388960514178,3.5,3.115,-0.1,60.645,57.99,3,도시자연공원인접형
독바위,6호선,1,1,132132.5,2,0,5416,37.618456,126.933031,4.0,6840.0,13862.5,6870.370968328425,13900.375422711904,1.25,0.6880000000000001,2.275000000000001,523.875,386.69,3,도시자연공원인접형
거여,5호선,1,5,854717.1,0,0,19046,37.493105,127.14415,3.0,113.5,2006.0,108.12706631639344,2271.5214290391787,2.333333333333333,1.4166666666666667,1.2666666666666666,532.13,398.1,2,도심공원형
개롱,5호선,1,9,1138363.4,0,0,12953,37.498079,127.13482,6.0,184.66666666666663,2540.6666666666665,198.42425640059216,2354.365307541123,2.6666666666666665,0.7166666666666667,0.5666666666666668,430.6283333333333,217.99,2,도심공원형
방이,5호선,1,5,1784475.8,0,0,14716,37.508857,127.126133,4.0,9019.041666666666,29340.541666666664,3668.4974567290974,14301.584156123172,4.0,1.46875,-1.15,532.9875,398.26,2,도심공원형
상일동,5호선,1,4,902496.9,0,0,27164,37.556712,127.166417,1.0,340.0,3969.0,275.0183818993807,3210.4351698783585,2.0,6.043,-0.1,481.75,481.75,2,도심공원형
고덕,5호선,1,9,899865.2,0,0,19758,37.555004,127.154151,1.0,29.0,641.0,37.200939723757536,822.2690469975372,2.0,0.54,0.0,314.97,314.97,2,도심공원형
광나루(장신대),5호선,1,2,90924.0,0,0,21906,37.545303,127.10357,6.0,4667.333333333333,12441.666666666666,4509.601343032885,12604.652350157672,1.5,3.7875,4.2,453.355,257.62,2,도심공원형
아차산(어린이대공원후문),5호선,1,3,627018.5,0,0,28977,37.551691,127.089761,7.0,4273.0,51440.833333333336,3865.983905937602,45909.7099747258,2.0,1.6031428571428574,2.7857142857142856,450.90857142857146,61.73,2,도심공원형
장한평,5호선,1,3,631463.2,0,0,37148,37.56144,127.064623,1.0,77.75,360.0,59.3455616763332,274.78330808334346,4.0,5.05,0.0,743.81,743.81,2,도심공원형
답십리,5호선,1,4,81919.6,0,0,29050,37.566747,127.052704,4.0,913.6839826839828,4273.405627705627,416.46978381274135,1869.0992908181256,7.25,2.365,0.9000000000000001,485.0475,354.89,2,도심공원형
광화문(세종문화회관),5호선,1,7,632157.4,0,0,67146,37.571525,126.97717,2.0,4800.25,13798.125,4202.337765969802,10447.898188254532,6.0,1.936,-1.9,391.5,317.55,2,도심공원형
서대문,5호선,1,4,186639.2,1,0,36618,37.565773,126.966641,1.0,132.5,457.5,128.0480683626473,442.1282360446125,2.0,0.57,10.5,736.22,736.22,3,도시자연공원인접형
오목교(목동운동장앞),5호선,1,2,1690023.6,0,0,41878,37.524496,126.875181,7.0,2528.266666666667,17825.483333333334,2174.475484693726,14412.038073763966,3.857142857142857,3.0471428571428576,0.1714285714285714,510.8757142857143,269.43,2,도심공원형
발산,5호선,1,3,525415.1,0,0,45062,37.558598,126.837668,4.0,1506.5,21010.0,1048.8498438377335,14261.060014193492,2.5,1.3285,3.4,736.75,718.93,2,도심공원형
방화,5호선,1,3,329813.3,0,0,13297,37.577446,126.812741,4.0,604.3333333333334,8486.166666666666,628.1913770563235,8594.55771535219,1.75,0.741,4.8,452.6775,381.26,2,도심공원형
서울숲,분당선,1,2,486111.3,0,0,24981,37.543617,127.044707,4.0,21074.666666666668,134787.41666666666,21443.721521349555,141035.0776458592,2.75,3.421,0.125,484.395,256.19,2,도심공원형
구일,경인선,1,2,1918979.0,0,0,16369,37.496756,126.870793,5.0,16202.166666666668,66057.5,17975.479265151655,74722.89672333463,2.0,2.238,0.08,232.12000000000003,29.7,2,도심공원형
가좌,경의중앙선,1,2,164739.4,0,0,11251,37.568491,126.915487,4.0,1626.3333333333333,6713.333333333334,1335.1345264479776,4867.278847948065,2.25,2.093,2.525,445.22,111.54,2,도심공원형
서강대,경의중앙선,1,2,92618.1,0,0,4359,37.551881,126.935711,4.0,1891.75,5871.6,315.37123545830326,1732.433203802871,4.25,0.76,-0.05,586.0875,399.68,2,도심공원형
양원,중앙선,1,2,219981.3,1,0,5973,37.606596,127.107906,1.0,97.0,132.0,97.0,132.0,1.0,0.7911,6.1,664.88,664.88,3,도시자연공원인접형
중랑,중앙선,1,2,197763.3,0,0,10545,37.594917,127.076116,5.0,3847.142857142857,31085.857142857145,4264.087601330522,35132.15627815095,4.8,3.8664,0.16,564.4739999999999,514.23,2,도심공원형
대모산입구,분당선,1,9,486037.9,0,0,10840,37.491373,127.07272,2.0,758.65,5658.6,930.6446587445604,6963.482592322708,6.5,5.545,0.0,362.91,239.24,2,도심공원형
개포동,분당선,1,10,587333.1,0,0,8573,37.489116,127.06614,3.0,791.15,5802.1,1242.4857825839708,9067.197764482684,5.666666666666667,4.43,0.0,186.3633333333333,84.22,2,도심공원형
구룡,분당선,1,10,583628.2,0,0,6695,37.486839,127.058856,3.0,366.0833333333333,1628.5,348.5823078264567,1543.4583453392418,5.0,4.63,0.0,371.97,155.44,2,도심공원형
녹천,경원선,1,5,1132382.4,0,0,7729,37.644799,127.051269,5.0,1748.5277777777776,18500.222222222223,2174.6818016292927,22976.83027185145,4.6,3.80066,1.46,452.8,345.27,2,도심공원형
월계,경원선,1,1,1022430.1,0,0,12989,37.633212,127.058831,5.0,1163.611111111111,10968.055555555557,1520.3465005764033,14542.89945811051,3.8,3.54516,2.46,488.978,287.29,2,도심공원형
신이문,경원선,1,6,1020723.3,0,0,15319,37.601854,127.067325,5.0,1106.0761904761905,9084.057142857142,1257.8634538420206,9646.192865445184,5.8,3.9364,0.0399999999999999,480.188,381.96,2,도심공원형
