CELL_ID,위도,경도,생활이동인구,스트라바이용자수,거주인구,녹시율,공원겹침비율
다사55005150,37.56289135182764,126.99188250393235,20865.055,0.0,218.3,0.6590790721653411,0.0
다사59754500,37.50452392025101,127.04602016387683,23909.6,0.0,1030.1,0.4388388756722993,0.0
다사59005150,37.56307758718261,127.03717289405651,21434.370000000003,0.0,1579.1,0.5765798993456882,0.0
다사58505625,37.60586812499572,127.03124318910476,20678.73,0.0,2169.5,0.2484547853720188,0.0
다사58254450,37.49995080029593,127.02907777677703,23701.92,0.0,908.6,0.1433559028736047,0.165
다사53755100,37.55832299119325,126.97776080161943,23053.06,106.75,305.2,0.4729772649989098,0.0
다사47254750,37.52642864289825,126.90442053840476,22886.565,0.0,1395.8,0.8417176345360867,0.0
다사53755125,37.560576291276774,126.97774507402286,20639.69,0.0,257.3,0.4687189081676126,0.0
다사52504200,37.47714034732023,126.96418887715372,21096.73,0.0,2139.9,0.8996905657742043,0.0
다사60754925,37.5428736421714,127.05710759618383,19523.120000000003,153.0,615.2,0.375366533920841,0.0
다사65754625,37.516032110824156,127.11384542506457,21909.445,54.57692307692308,2009.2,0.5453961805642669,0.009
다사66504400,37.495779263945735,127.12243431949719,32152.56,0.0,1576.0,1.0,0.0
다사64504325,37.48894469300547,127.09984521837183,20608.98,0.0,542.6,0.7764783527272388,0.0
다사55005225,37.5696512592536,126.99183658428613,18953.465,0.0,0.0,0.0,0.0
다사63255300,37.57677641058796,127.08521939868915,19369.185,0.0,1207.1,0.0092589013870478,0.0
다사58254750,37.526990822520055,127.0289078444445,25734.4,0.0,812.5,0.8078221053037143,0.0
다사60004525,37.50678810118299,127.04883505769853,17558.34,98.45454545454544,1474.0,0.4073199989386073,0.41
다사65754575,37.51152539062432,127.11386864450593,21130.315,0.0,2127.0,0.3917874551636545,0.0
다사69505025,37.552217026166616,127.15611374131984,19509.085,0.0,675.7,1.0,0.134
다사54005225,37.569601973953496,126.98051303028406,17985.14,3924.0,40.8,0.5136270575346077,0.0
다사66254300,37.48675671029658,127.11965187658942,20658.41,1.0909090909090908,802.8,0.0541095801556979,0.0
다사58005850,37.626125142919626,127.02544976518983,20481.83,0.0,1556.2,0.4426779401805812,0.0
다사65254600,37.51376011974498,127.10819938330776,23052.16,888.8333333333334,1821.2,0.7828266139042008,0.085
다사44754725,37.52402930331084,126.87614724292308,19507.825,0.0,1321.4,0.6909628807129019,0.0
다사41505100,37.55762806442481,126.83907069550938,18649.32,0.0,2016.9,0.5112535731809389,0.0
다사53255100,37.5582978157001,126.97209989105836,18914.195,0.0,307.4,0.4461933546166731,0.0
다사60004450,37.5000280651724,127.0488757345174,19781.835,0.0,2015.4,0.4187146435077047,0.0
다사55755225,37.56968751050365,127.00032926772394,19600.975,6524.0,98.0,0.6284446053600897,0.0
다사62254875,37.538429428220475,127.07411269329212,19050.59,97.14285714285714,1432.3,0.6005870881731666,0.0
다사56754375,37.49312192422883,127.01215213711124,20603.89,0.0,667.1,0.6806129931193423,0.0
다사47755075,37.55574969796939,126.9098481301152,19794.905,0.0,1023.1,0.4636860044881933,0.0
다사59254475,37.50224870147361,127.04037707383965,19013.965,0.0,1285.5,0.485659120607969,0.0
다사45504875,37.537593478544714,126.88452349813382,17537.04,0.0,1440.4,0.7546250078033943,0.16
다사61254975,37.547401401825624,127.0627410890206,25355.415,0.0,652.2,0.4375278003769173,0.0
다사61254450,37.50008122304229,127.06301717838035,17120.39,0.0,1304.7,0.5227803051168535,0.0
다사58754425,37.49771987189743,127.03474830921544,22138.51,0.0,908.6,0.0,0.0
다사49505700,37.61217887866731,126.92923052823754,18299.475,0.0,993.5,0.6767355275747406,0.0
다사54255200,37.56736109846905,126.98335948025858,20106.575,3924.0,169.1,0.7726605687426168,0.0
다사60505475,37.59243608683562,127.05398219782182,19519.045,0.0,852.0,0.240387453021527,0.0
다사45754550,37.508315568566886,126.88759261326818,13599.575,0.0,1611.5,1.0,0.0
다사57754475,37.50218145333789,127.02340690912962,18127.89,0.0,2155.5,0.1476085186962697,0.0
다사64004900,37.54075255009395,127.09390871775119,17980.129999999997,0.0,1687.7,0.5322730285234043,0.0
다사51004975,37.546914711315424,126.94670918009953,19343.88,0.0,2117.1,0.3684885469239921,0.0
다사57505600,37.603569284741084,127.01992856095403,17724.4,0.0,2731.6,0.0161189647126409,0.0
다사60256150,37.65326445987257,127.05078446785568,17700.8,0.0,1432.5,1.0,0.0
다사58755525,37.5968661280039,127.03413167781942,18618.875,0.0,1683.1,0.3655929157668503,0.0
다사51504950,37.54468780147485,126.9523856898379,18780.285,0.0,2274.0,0.6967552944014334,0.0
