역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m
화곡,5호선,1,1,24953,0,0,52671,37.541513,126.840461,1.0,8.5,14.5,1.420813336701187,2.423740397902025,2.0,0.68,5.9,615.78,615.78
우장산,5호선,1,1,359435,0,0,28586,37.548768,126.836318,4.0,2118.5,178760.0,2358.6731845749227,182521.97742604342,1.75,0.8405,3.375,537.7425000000001,368.6
발산,5호선,1,3,525415,0,0,45062,37.558598,126.837668,4.0,1506.5,21010.0,1048.8498438377337,14261.060014193492,2.5,1.3285,3.4,736.75,718.93
마곡,5호선,1,1,505351,0,0,26114,37.560183,126.825448,3.0,569.8333333333334,12683.0,386.3284041381481,10580.882989134667,3.0,1.2106666666666666,0.10000000000000002,497.0366666666667,378.01
송정,5호선,1,0,0,0,0,12078,37.561184,126.811973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
개화산,5호선,1,1,72132,0,0,11387,37.572399,126.806171,2.0,105.33333333333333,478.16666666666663,90.69280432705705,414.0399468954729,2.5,0.859,3.25,542.735,484.3
방화,5호선,1,3,261855,0,0,13297,37.577446,126.812741,4.0,604.3333333333334,8486.166666666666,628.1913770563235,8594.55771535219,1.75,0.741,4.8,452.6775,381.26
도봉,경원선,1,0,0,0,0,11094,37.679563,127.045595,1.0,80.33333333333333,217.83333333333334,66.89844175938525,181.40303605708823,6.0,4.97,0.0,683.26,683.26
방학,경원선,1,2,44899,0,0,19020,37.667503,127.044273,3.0,90.6111111111111,245.05555555555557,106.13792957283295,287.425707746229,7.0,7.313533333333333,0.03333333333333333,489.0666666666666,476.65
압구정로데오,분당선,1,1,29816,0,1,38255,37.527381,127.040534,2.0,15602.5,68018.75,15628.147442861427,68106.29461795613,2.5,6.005,0.05,463.235,456.22
서울숲,분당선,1,2,486192,0,0,24981,37.543617,127.044707,4.0,21074.666666666668,134787.41666666666,21443.721521349555,141035.0776458592,2.75,3.421,0.125,484.395,256.19
구일,경인선,1,0,0,0,0,16369,37.496756,126.870793,5.0,16202.166666666668,66057.5,17975.479265151655,74722.89672333463,2.0,2.238,0.08,232.12000000000003,29.7
오류동,경인선,1,0,0,0,0,21389,37.494526,126.845365,2.0,33.0,848.0,33.0,848.0,1.0,1.502,0.05,66.63,7.78
개봉,경인선,1,0,0,0,0,42286,37.494594,126.85968,2.0,423.33333333333337,2150.6666666666665,413.1898762252167,2111.647290102717,2.0,4.25,0.0,491.70500000000004,473.61
