id,name,athlete_count,effort_count,distance_km,avg_grade,city,start_lat,start_lng,end_lat,end_lng
30460539,구공수언덕400M,70,700,0.4,-7.3,Bucheon,37.478957,126.773211,37.475998,126.770773
26678746,진옥자전거캠프-청계산(대공원등산로입구-과천매봉-대공원)(JOBC),69,154,4.39,-0.1,Gwacheon-si,37.430087,127.005813,37.430209,127.005792
3480950,경춘로24번길 40 1 Climb,69,184,1.36,4.5,Guri Si,37.600778,127.135085,37.600507,127.120457
6060117,Segment,68,365,0.64,12.4,South Korea,37.481228,127.015724,37.477043,127.013329
27379209,황금산_깔딱_2,68,311,0.39,12.0,Namyangju-si,37.604671,127.159436,37.606013,127.163073
2220757,항동 128 3 Climb,68,201,2.31,16.1,하남시,37.49061275739223,127.15703643858431,37.48663940001279,127.1779347024858
11346988,용마산9시방향 정상까지 달리기!! 울고싶은 경사도,68,140,0.66,34.0,Seoul,37.57729,127.090362,37.571371,127.09566
23073536,진옥자전거캠프-부천순환둘레길(만의골거마산입구-거마-성주산)(JOBC),67,330,1.31,11.2,Namdong-gu,37.461235,126.766692,37.47175,126.767448
13579379,Crossing - downhill,66,856,0.54,0.6,Seoul,37.514291,126.887173,37.515455,126.882922
19478921,북한산 자락길 (완전 개통),66,251,4.06,-0.6,Seodaemun-gu,37.59496,126.942796,37.596786,126.952843
9675332,시청-도로,66,249,0.97,11.5,,37.594151,127.126374,37.59336,127.117401
21711388,보마코스 1.8K,65,2181,1.78,0.0,Dongjak-gu,37.491711,126.92013,37.491757,126.920049
38148692,정발산둘레길_Maru,65,376,3.44,0.0,마두1동,37.664442,126.776282,37.664374,126.776282
17335762,The way up,64,205,0.92,3.8,Seoul,37.586618,127.02759,37.592222,127.026506
15088931,canal parkway oob,64,102,7.72,-0.2,Seoul,37.500283,127.072385,37.500216,127.073746
8882130,Aebongsan Ridge (from the south),64,78,3.09,-0.1,Seoul,37.620225,126.903721,37.636656,126.916258
29158211,RED_100_2,62,988,0.14,0.0,Namyangju-si,37.671251,127.114106,37.671149,127.11253
39441063,춘의산 벚꽃동산 러닝업힐 by.심마루,62,275,0.45,12.5,Bucheon-dong,37.508062,126.787833,37.510082,126.791638
37927722,다산 하-도 5K 달리기@StepUpBpm,61,217,5.01,0.1,다산1동,37.628376,127.14527,37.6295,127.14623
38235842,SikSa Loop,61,2601,1.02,0.2,식사동,37.679256,126.818093,37.679193,126.818168
29910020,진옥자전거캠프-불암산(별내근린공원-애기봉)(JOBC),60,397,1.74,7.0,Namyangju-si,37.654348,127.113121,37.660949,127.10151
38159215,삼육대 트랙 1km,60,1284,1.0,-0.2,Gongneung-dong,37.641619,127.106962,37.641913,127.108078
29743772,도서관 언덕,60,528,0.57,3.6,Bucheon,37.498692,126.792485,37.499088,126.797089
3080455,작동 산5 4 Climb,60,285,0.82,6.0,Bucheon Si,37.521256,126.820637,37.517257,126.824309
12324450,Head Over Heels,59,126,0.11,12.1,Seoul,37.515196,127.04366,37.514257,127.043826
5363680,Segment,59,131,0.63,8.7,South Korea,37.502901,126.811442,37.498771,126.815024
29158199,RED_100_1,59,895,0.13,0.0,Namyangju-si,37.671129,127.112661,37.671244,127.114135
6585484,Segment,58,104,0.59,7.7,South Korea,37.552615,126.853323,37.549766,126.857841
30261521,산기슭공원 짧은업힐 [kwssite],58,650,0.13,12.9,Siheung-dong,37.462868,126.907015,37.463996,126.906867
11007392,러닝훈련-2,58,1437,0.39,-0.7,Goyang-si,37.663088,126.841162,37.660721,126.83808
19698662,원터근린공원 한바퀴,58,1282,0.54,0.0,Gangdong-gu,37.552388,127.150505,37.552383,127.150493
24722085,꽃시장 영동3교 시민의숲,58,255,4.9,-0.2,Seocho-gu,37.467322,127.038484,37.471121,127.038034
18298993,400m,58,1716,0.4,0.6,Goyang-si,37.660743,126.838015,37.663172,126.841169
4201633,Segment,57,113,1.22,9.4,South Korea,37.673659,127.030083,37.671003,127.018798
29681632,진옥자전거캠프-노고산(오금동-쉼터)(JOBC),57,144,0.82,8.7,Goyang-si,37.664174,126.922002,37.665734,126.929292
13414437,상암TR코스1,56,216,9.79,-0.0,Seoul,37.565694,126.896539,37.565573,126.896708
11401366,[얼공]1k:분수대↔팔각정@ddamdo,55,61,1.0,-0.0,Seoul,37.549451,127.078422,37.549434,127.078464
5847849,Loop run,55,102,5.56,0.0,South Korea,37.520921,126.880449,37.520078,126.881355
15767911,여마클 10km,54,184,10.01,-0.0,Seoul,37.524762,126.936428,37.524552,126.93668
26902490,갈말근린공원 순찰,53,3345,0.47,-0.0,Nowon-gu,37.665602,127.055082,37.665502,127.054992
15762367,도봉 중랑천#1,53,146,4.02,0.1,Seoul,37.652747,127.053648,37.671192,127.049319
36834699,[HOTRC] 남양주체육문화센터 ~ 다산숲 생태공원 업힐 (by.구르는팬더),53,367,0.35,6.7,양정동,37.604027,127.176194,37.603338,127.173509
6169976,Yeoksam hill,53,181,0.28,7.7,South Korea,37.500467,127.032505,37.502798,127.031245
17347817,목감천10k run,52,332,10.01,-0.0,Gwangmyeong-si,37.476521,126.845875,37.469155,126.844188
26434535,오들로북한산둘레길65km_산러너,52,53,62.63,0.0,Eunpyeong-gu,37.655309,126.94985,37.655248,126.94976
29267955,진옥자전거캠프-성주산(종점-구름다리-하우고개)(JOBC),51,88,1.81,0.4,Bucheon,37.474085,126.770669,37.476225,126.786311
39795875,초안산 Climb,50,260,0.99,7.7,Chang-dong,37.646389,127.043338,37.639212,127.046495
28844339,West Side Low Line - On't Top Road to 둘레길,50,144,0.83,1.2,Goyang-si,37.605999,126.900761,37.600988,126.900446
38778483,소래산  uphill (내원사 - 정상),50,154,0.98,24.1,Sincheon-dong,37.445527,126.781688,37.452065,126.778767
32608827,태릉골프장 방면 트레일,50,311,0.29,7.8,Nowon-gu,37.627644,127.102378,37.62683,127.10533
31744524,수명산 업힐A_멈추지말고 끝까지! by steve,49,228,0.28,14.5,Gangseo-gu,37.550677,126.828345,37.54834,126.827588
19729959,진옥자전거캠프-이자산(일자산자연공원-해맞이광장2)(JOBC),48,109,0.49,11.8,Gangdong-gu,37.530964,127.1508,37.528442,127.15229
23088711,배수지_언덕훈련,48,506,0.35,15.6,Namyangju-si,37.66526,127.128355,37.666778,127.127122
38180205,계남공원축구장 트랙 1K,48,304,1.0,0.1,Gocheok 2(i)-dong,37.50913,126.85552,37.50886,126.85499
32792531,서서울호수공원(CW#04),47,304,0.7,0.1,Yangcheon-gu,37.526685,126.832102,37.526624,126.832141
18568695,안양천_5K,46,120,5.45,0.0,Seoul,37.535385,126.891027,37.53535,126.891013
6213740,Segment,46,71,0.45,9.3,South Korea,37.519626,127.17538,37.522419,127.1786
38159226,삼육대 트랙 1mi,45,849,1.62,-0.1,Gongneung-dong,37.641619,127.106962,37.641142,127.107918
18014925,개운산입구교차로-개운산운동장,45,167,1.39,6.4,Seoul,37.592572,127.036227,37.596149,127.02622
16296106,[hirun]월곡운동장,45,4034,0.26,0.2,Seoul,37.608875,127.043485,37.608842,127.043516
23065819,트레일_중간쉼터_넉바위,44,129,0.57,14.3,Namyangju-si,37.675945,127.12573,37.680442,127.125069
23072874,트레일_넉바위_중간쉼터,44,117,0.6,-13.1,Namyangju-si,37.680375,127.125029,37.675823,127.125687
29393886,번동hillclimb,43,186,0.32,10.1,Gangbuk-gu,37.626259,127.03611,37.624725,127.033125
19817612,관악고등학교 트랙,42,1974,0.27,-0.2,Yeongdeungpo-gu,37.521603,126.883091,37.521593,126.883089
1769007,내곡동 1 1221 Climb,42,47,0.94,5.1,서울특별시,37.45612213,127.06212632,37.45728497,127.07211377
21074278,진옥자전거캠프-성남누비길(인능산-옛골)(JOBC),42,61,3.67,-3.6,Seocho-gu,37.448781,127.088346,37.433309,127.074312
26653817,Dosin-ro 9-gil,41,441,0.37,0.9,Yeongdeungpo-gu,37.505177,126.897149,37.507792,126.894948
27914652,한바퀴,41,245,4.27,0.0,Nowon-gu,37.620365,127.09929,37.620358,127.099285
29294142,진옥자전거캠프-수락산(석림사-주봉-석림사)(JOBC),41,57,3.96,-0.0,Euijeongbu,37.700816,127.066165,37.700728,127.066126
28198215,라스포르티바챌린지 관악산둘레길32k,41,61,31.4,-0.1,Gwanak-gu,37.473919,126.981996,37.473966,126.981774
