id,name,distance,avg_grade,start_lat,start_lng,end_lat,end_lng,effort_count,athlete_count,star_count,polyline
19025582,Hyochang Stadium Reverse 400m,429.5,0.0,37.543773,126.961673,37.543763,126.961687,36461.0,258.0,2.0,qwcdFme|eWx@o@NEN?\L^^LXD\?VEPINU\kBnBMFMB]KOIMOISOc@Ai@Jg@^e@n@o@
26758097,circuit 250 m,264.5,0.0,37.556707,126.96598,37.556693,126.965942,176899.0,1111.0,21.0,khfdFk`}eWrAz@`@RLELMH_@BWESUWkAy@MEYFGFKPCd@B\DH
11423749,[여의도]8K_2주차장기준한바퀴@ddamdo,8215.2,-0.0,37.528637,126.931716,37.52877,126.931568,2261.0,1049.0,9.0,}x`dFejveW|AkArBgCP_@b@w@L[Rw@f@sAh@gA\m@f@s@TSRWnJgIXa@Zo@\y@xAkBLMd@]BKFELA\Yl@Y^i@p@k@Te@n@w@r@g@zAyBz@i@`@Yh@}AJEd@]HCN?v@Jd@BBAXWF?ZH^P^HL?LG^C|ALt@e@\c@n@aAJ_@@SEo@GYGKEAC?KNOp@?`@Fh@Px@HPP~ATTBFAb@P^F@@HEx@Fz@NfB@TDT?XEf@@Fn@|AHr@^`AFb@Fx@TdARbBJP?n@Ff@b@pCVdDRnAA^Jt@F`AJb@?VLtABb@Ft@FfB?VBVRzDIv@A~@Gx@An@CV@TAf@?d@Gn@@r@Qp@Fl@C|@Kv@U|@Mr@QzAEbAQ`AC`@q@hCG`@Mh@M\Ij@I^Ub@O~@m@lA[rBK\UvAa@fAQVKj@Qd@Cj@Qh@QZGTGFCH?TGT]h@Of@AROd@o@nAMv@_@jAG\KLMH[`@CJk@f@CDCPMV{@bA}@j@MNk@Vu@j@]\WD_@Tm@n@g@Zs@p@e@ZQV_@LgAh@c@XQRa@TYPe@Le@\[Ls@d@UTQHa@^_@RQR[JMH_@Jg@d@[JaBbA]f@MJmAXuAn@_BTcBb@ULm@H{@Rs@Hc@@cATwBZeBHk@Cc@?IB_CtAa@I]Bc@LONYFi@Ry@Pk@?UDy@ESJMZOpA@JBFF?LSVqARcD@m@Ok@CECFEScAoAKEUa@Uk@MSUgBSiBg@yAe@qBMs@WoC?eBHq@@m@J[\q@XgAHcACgBHy@By@H_@D[^mANy@BaADa@AeADc@B_APo@Hk@\qATaBT_AFa@LSFYT_@H_@Ru@ZmBBi@Lk@Ni@HOp@w@p@k@`@a@XSbA{@LOXo@Vs@Xo@h@oBRg@Rg@p@kAPc@v@oALe@L{@@_@Ge@Ic@c@uAQy@CWLeAPUJ?NWJKn@U^WXWLK|Ay@JMLC
5422492,여의도공원 (Start/Finish @ Entrance #12),2486.8,0.1,37.526306,126.923902,37.526178,126.923796,201916.0,12056.0,5.0,kj`dFkyteWOc@Gm@IYIQUWc@y@QKUUc@gAGYk@cAO_@Su@Q_@W_@s@a@KM]o@Kg@[m@[_@]QKAi@F_@RQPU`@CTAh@LdBJn@\nAXb@VR\d@VPd@h@~AdC\t@Z`BJXb@p@RVXTr@|@z@xAHPR`ANf@f@v@n@j@RXHTZlALVR\LNXl@d@l@Pl@BDBLVZf@v@P^`@nAT`@l@p@Zj@|@lBNTRLl@LJA\QLO\[NWNw@B[CS[i@GSi@eAUq@Ga@o@yAIGu@oASQa@i@i@{@MYWs@[k@KYi@}@Sk@]k@Y{@IMs@y@mAgCKKg@s@
8241912,Ewha track CCW,223.9,-0.1,37.559967,126.944416,37.559985,126.944283,13124.0,251.0,6.0,w|fdFqyxeWDbAN`@Rc@Q_BAq@IY[PJpB
9022750,경의선공원,1148.5,0.0,37.544981,126.947042,37.544966,126.946968,6934.0,846.0,12.0,c_ddF_jyeWJVEXWl@EXAZG\SXEXWn@EVWf@GTSd@SfAWn@Ax@Mp@MTQp@c@dCAt@Mr@KT]d@Mn@]jAU@L}@JYJ{@`@m@`@kALmAJwAB[HWFu@NSJYHs@`@oADs@LWNQj@aBVi@^mAFYAu@F[TA?Z
7440088,[휴레] 남산업힐(약수터->버스정류장),1771.1,5.4,37.550442,126.998881,37.550763,126.991291,25456.0,8750.0,172.0,gaedF_ncfWt@FZZ`@RhAc@hAWxEmA`@Gf@ApBP`@Z\`@b@JjAFd@LZ\Vb@\\~@l@v@bAjAfBx@`ANj@Cb@Ub@a@ViA\a@TSf@Q~AaAjDEr@W`@e@PY`@Il@Sj@c@RiAFc@Kc@Uc@Qe@IiATc@PiAXiARc@Ke@Aa@N_@XyA|AYd@k@tAWb@aAt@
2143255,Namsan loop,7882.8,0.0,37.5411526,126.9977576,37.5413186,126.997844,238.0,116.0,331.0,egcdF}fcfWK[OCE@JPZ\TMBYE]c@eBaAkBk@w@K[USWc@]Uq@w@]Uo@w@aAgBq@u@a@c@q@g@YMu@Uy@Q_@OwCi@cAKwBO]EuAEUB{@R{@`@g@f@oCvDw@hAs@p@MXs@r@}A|@WHo@?YA]I_@WaBiBU?aAf@ETHd@JV\f@h@`@f@n@R^Nl@A~BInAU^]R[DyCeAcAW_Ac@}@e@a@OeAScBO]MQYUy@Oc@e@eBQ]U[k@k@YO_@G_@JOXMd@MlAGvAFrAXvAP\\`@jAbB\P^@\E\ArA@|@E`AU`@AjAZn@VXPLPh@dAf@x@N\Hf@GZO`@Yj@Qf@OVG^@j@Gp@UV[CaASc@Gk@?a@RCDMh@[`@]JY@YE]NSRWb@Mb@Y~Bg@bBQb@o@xBUXUBa@Iy@[qAq@_@M_@C[B]\Sn@Gb@Fd@Xx@Lf@C`@U|@?RRh@f@p@JZ@p@Jd@NTRXv@\r@f@bB|@NPIj@CBa@Na@JWZ[n@Ah@Bv@L\b@T`@BXJTj@Sj@g@Ra@ZUXSh@Fb@XZN\F`@Kp@B`@LV\PRD\XV^XVt@f@N\Dl@XhABl@ARo@|A[xAAn@FhBJp@Pp@NFR^AFnAjAvAl@f@@|AWX]lAyBPo@@g@Gq@G}AFuAN[n@u@l@{@n@o@tAy@p@g@~@g@dFs@ZMvAy@VGr@[v@UzAOhACTIbAqA^y@\g@Lg@LcAReAPoA?_@De@Li@GqBKg@MuBBcALe@tA}CRYPQ^m@l@a@bB_A~@_@z@Ob@Ef@Db@?XGx@WVSXg@RmA?wBNkCPy@f@iBHa@HeAT_BLg@Rc@Ja@rAqCn@aAN]Nk@FmAUEWc@
7455930,[휴레] 남산TR Part 2,3088.0,0.6,37.55498,126.98401,37.550949,126.997625,145132.0,19050.0,78.0,s}edFaq`fW[[iAYMOEk@Ho@Ek@IQ][Kk@@KVc@Za@~@s@Rg@AG[_@SEg@Ca@OQo@Em@?KLk@Va@f@G\YHOBm@Ye@k@WiAi@_@Oe@UMMSg@Gm@Ao@Sk@[a@Ok@?m@Tg@@q@k@{AEo@Rk@\]b@ClA\lBp@f@H`@WXg@jAkDPm@\mCPm@Z_@DAd@Ep@?`@Qh@iABCd@Mb@CpARd@CZa@Fy@Hi@h@iAXc@Te@@o@Oi@Wi@Wa@m@gA]a@a@YoA[yCHe@Fg@Ac@EmADe@K[_@Ye@_@]QWSe@c@yAEm@LmCJo@Vc@b@Id@Nb@T^\j@jAb@pA`@|Ab@RtCRb@NpDbBvCx@f@Jb@E`@W
5597616,The Scream (Namsan Tower),1143.7,-10.4,37.551131,126.990413,37.55219,126.982507,14680.0,6174.0,20.0,qeedFayafWCPAfBDXNd@dA|BRZbBhBXd@P`@^XdAXr@Bx@Cr@GD?NDZPLLFd@@^Mf@ML{@b@c@\c@z@Sj@w@fAa@t@[r@KJUHkAIc@GQ@MFUr@[b@WZeA~@MRg@dB]v@i@z@YZS^GP
27160996,[TOF] 남산 순환로 업힐1km (by JK) ,1002.8,2.7,37.553473,126.997498,37.551503,126.997558,208247.0,22765.0,9.0,etedFiecfWu@Hw@BoAEO?c@F]ASKSSWe@qAwAMQe@sAAm@@s@Bc@TeCDYRS`@GPFtA`A\^P\b@nA\`BFPPLn@Pp@BzARj@RpAp@lAh@dAXn@VTD
13523379,Dirt Track Lap,428.5,0.0,37.527843,127.020142,37.527841,127.020145,54257.0,1375.0,10.0,_t`dF{rgfWWSMGS@SJMLO^A^B\N`@X^VTJb@LNv@t@TFP?JCRSXi@D[Ca@IS_@a@[g@WUo@s@
