역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,위도,경도
불광,3호선,2,3,160250,1,0,37.610553,126.92982
연신내,3호선,3,1,130345,0,0,37.619229,126.921038
구파발,3호선,1,0,0,0,0,37.636763,126.918821
용두(동대문구청),2호선,1,1,17182,0,0,37.574028,127.038091
신정네거리,2호선,1,3,632025,0,0,37.520074,126.852912
양천구청,2호선,1,5,831187,0,0,37.512398,126.865819
도림천,2호선,1,0,0,0,0,37.514287,126.882768
신설동,2호선,3,2,54019,0,0,37.574747,127.024932
신답,2호선,1,3,38377,0,0,37.57004,127.046481
용답,2호선,1,3,593521,0,0,37.561904,127.050899
충정로(경기대입구),2호선,2,2,46706,0,0,37.559704,126.964378
아현,2호선,1,1,29682,0,0,37.557345,126.956141
이대,2호선,1,1,5186,0,0,37.556733,126.946013
신촌,2호선,2,2,92618,0,0,37.555131,126.936926
홍대입구,2호선,3,1,87432,0,0,37.55679,126.923708
합정,2호선,2,0,0,0,1,37.549457,126.913808
당산,2호선,2,1,110407,0,2,37.534946,126.902767
영등포구청,2호선,2,1,11248,0,0,37.525706,126.89661
문래,2호선,1,2,36436,0,0,37.517933,126.89476
신도림,2호선,2,1,25188,0,0,37.508961,126.891084
대림(구로구청),2호선,2,2,24587,0,0,37.493243,126.894932
구로디지털단지,2호선,1,0,0,0,0,37.485266,126.901401
신대방,2호선,1,2,497213,0,0,37.487462,126.913149
신림,2호선,2,2,129678,1,0,37.484201,126.929715
봉천,2호선,1,2,129678,1,0,37.482362,126.941892
서울대입구(관악구청),2호선,1,2,384026,1,0,37.481247,126.952739
낙성대,2호선,1,3,421273,1,0,37.47693,126.963693
사당,2호선,2,2,0,2,0,37.476538,126.981544
방배,2호선,1,1,671580,0,0,37.481426,126.997596
서초,2호선,1,1,671580,0,0,37.491897,127.007917
교대(법원.검찰청),2호선,2,2,678585,0,0,37.493961,127.014667
강남,2호선,2,2,40255,0,0,37.49799,127.027912
역삼,2호선,1,1,33250,0,0,37.500622,127.036456
선릉,2호선,2,1,240593,0,0,37.504286,127.048203
삼성(무역센터),2호선,1,2,947914,0,0,37.508844,127.06316
종합운동장,2호선,2,2,685924,0,0,37.511022,127.073704
잠실새내,2호선,1,3,85909,0,1,37.511687,127.086162
잠실(송파구청),2호선,2,3,321167,0,0,37.513262,127.100159
잠실나루,2호선,1,1,12793,0,1,37.520733,127.10379
강변(동서울터미널),2호선,1,1,10427,0,0,37.535095,127.094681
구의(광진구청),2호선,1,1,10427,0,0,37.537077,127.085916
건대입구,2호선,2,0,0,0,0,37.540373,127.069191
성수,2호선,1,2,537918,0,0,37.544581,127.055961
뚝섬,2호선,1,3,1018912,0,0,37.547184,127.047367
한양대,2호선,1,2,1013714,0,0,37.555273,127.043655
왕십리(성동구청),2호선,3,0,0,0,0,37.561238,127.036954
상왕십리,2호선,1,2,27973,0,0,37.564354,127.029354
신당,2호선,2,3,36377,0,0,37.56564,127.019614
동대문역사문화공원,2호선,3,3,219707,1,0,37.565613,127.009054
을지로4가,2호선,2,3,235692,0,0,37.566595,126.997817
을지로3가,2호선,2,4,237364,1,0,37.566306,126.991696
을지로입구,2호선,1,3,92841,0,0,37.566014,126.982618
시청,2호선,2,5,196864,0,0,37.563588,126.975411
동묘앞,1호선,2,3,255798,0,0,37.573197,127.01648
청량리(서울시립대입구),1호선,2,1,15180,0,0,37.579956,127.044585
제기동,1호선,1,1,17182,0,0,37.578103,127.034893
신설동,1호선,3,2,54019,0,0,37.576048,127.024634
동대문,1호선,2,4,273726,0,0,37.571687,127.01093
종로5가,1호선,1,5,661297,0,0,37.570926,127.001849
종로3가,1호선,3,4,461190,0,0,37.570406,126.991847
종각,1호선,1,6,543037,0,0,37.570161,126.982923
시청,1호선,2,4,179840,0,0,37.565715,126.977088
서울역,1호선,6,3,46706,1,0,37.556228,126.972135
