역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도
가락시장,3호선,2,4,59459,0,0,34436,37.492245,127.117757
태릉입구,7호선,2,3,1571652,0,0,28320,37.618294,127.075397
신길,경부선,2,3,297539,0,0,25543,37.516862,126.917865
보문,6호선,2,4,579153,0,0,18886,37.585274,127.019351
도곡,분당선,2,8,728676,0,0,25889,37.491224,127.055186
효창공원앞,6호선,2,1,171277,0,0,20723,37.539233,126.961384
보라매,7호선,2,3,885622,0,0,21467,37.499872,126.920428
샛강,9호선,2,2,432110,0,0,18195,37.517274,126.928422
오금,3호선,2,6,358553,0,0,18802,37.502129,127.128319
청구,6호선,2,2,96582,1,0,13921,37.560608,127.013986
삼각지,6호선,2,0,0,0,0,29316,37.535534,126.974032
동작(현충원),4호선,2,1,41956,0,1,7651,37.502852,126.980347
