역사명,공원수,공원목록,한강공원수,한강공원목록,호선1,호선2,호선3,호선4,호선5,총 호선 수
광운대,1,한내,0,없음,경원선,,,,,1
석계,2,"중랑천, 한내",0,없음,6호선,경원선,,,,2
신이문,3,"중랑천, 중랑천변, 청량<시공원>",0,없음,경원선,,,,,1
외대앞,3,"배봉산<시공원>, 중랑천변, 청량<시공원>",0,없음,경원선,,,,,1
회기,2,"(청량, 배봉산<시공원>",0,없음,중앙선,,,,,1
청량리(서울시립대입구),1,간데메,0,없음,경원선,1호선,,,,2
왕십리(성동구청),0,없음,0,없음,5호선,경원선,2호선,,,3
응봉,2,"서울숲, 중랑천",0,없음,경원선,,,,,1
옥수,2,"남산, 뚝섬지구",0,없음,경원선,3호선,,,,2
한남,3,"잠실지구, 잠원지구, 한남",0,없음,경원선,,,,,1
서빙고,3,"동빙고, 용산가족공원, 이촌지구",0,없음,경원선,,,,,1
이촌(국립중앙박물관),2,"용산가족공원, 이촌지구",1,이촌,경원선,4호선,,,,2
신도림,1,문래,0,없음,경부선,2호선,,,,2
영등포,2,"영등포, 중마루",0,없음,경부선,,,,,1
대방,2,"노량진<시공원>, 자매",0,없음,신림선,경부선,,,,2
노량진,3,"노량진<시공원>, 사육신공원, 여의도지구",0,없음,9호선,경부선,,,,2
용산,0,없음,0,없음,경부선,,,,,1
남영,1,효창<시공원>,0,없음,경부선,,,,,1
서울역,3,"남산, 서소문역사공원, 손기정체육공원",0,없음,공항철도1호선,경의중앙선,경부선,4호선,1호선,5
남태령,2,"관악산<시공원>, 우면산<시공원>",0,없음,4호선,,,,,1
사당,2,"관악산<시공원>, 우면산<시공원>",0,없음,4호선,2호선,,,,2
총신대입구(이수),1,3.1,0,없음,4호선,,,,,1
동작(현충원),2,"동작주차, 잠원지구",0,없음,9호선,4호선,,,,2
이촌(국립중앙박물관),3,"동빙고, 용산가족공원, 이촌지구",1,이촌,경원선,4호선,,,,2
신용산,0,없음,0,없음,4호선,,,,,1
삼각지,0,없음,0,없음,6호선,4호선,,,,2
숙대입구(갈월),1,효창<시공원>,0,없음,4호선,,,,,1
서울역,3,"남산, 서소문역사공원, 손기정체육공원",0,없음,공항철도1호선,경의중앙선,경부선,4호선,1호선,5
회현(남대문시장),4,"남산, 덕수, 서소문역사공원, 서울광장",0,없음,4호선,,,,,1
명동,1,남산,0,없음,4호선,,,,,1
충무로,1,남산,0,없음,4호선,3호선,,,,2
동대문역사문화공원,3,"낙산, 남산, 훈련원",0,없음,5호선,4호선,2호선,,,3
동대문,3,"낙산, 동묘, 훈련원",0,없음,4호선,1호선,,,,2
혜화,6,"(낙산, (북한산, 낙산, 마로니에, 창경, 창덕",0,없음,4호선,,,,,1
한성대입구(삼선교),5,"(낙산, (북한산, 낙산, 성북<시공원>, 와룡<시공원>",0,없음,4호선,,,,,1
성신여대입구(돈암),2,"개운산<시공원>, 성북<시공원>",0,없음,우이신설선,4호선,,,,2
길음,1,개운산<시공원>,0,없음,4호선,,,,,1
미아사거리,2,"(오동, 오동<시공원>",0,없음,4호선,,,,,1
미아(서울사이버대학),1,오동<시공원>,0,없음,4호선,,,,,1
수유(강북구청),2,"오동<시공원>, 우이천",0,없음,4호선,,,,,1
쌍문,2,"쌍문<시공원>, 우이천",0,없음,4호선,,,,,1
창동,2,"월천, 초안산생태공원",0,없음,4호선,,,,,1
노원,2,"온수, 원터",0,없음,7호선,4호선,,,,2
상계,4,"불암산<시공원>, 삿갓봉, 수락산<시공원>, 온수",0,없음,4호선,,,,,1
불암산,2,"불암산<시공원>, 수락산<시공원>",0,없음,4호선,,,,,1
오금,6,"가락, 백토, 성내천, 송이, 오금<시공원>, 웃말",0,없음,5호선,3호선,,,,2
경찰병원,7,"가락, 개농, 건너말, 두댐이, 송이, 오금<시공원>, 웃말",0,없음,3호선,,,,,1
가락시장,4,"가락, 건너말, 숯내, 훼밀리",0,없음,8호선,3호선,,,,2
수서,2,"숯내, 탄천",0,없음,수도권 광역급행철도,분당선,3호선,,,3
일원,1,한솔,0,없음,3호선,,,,,1
대청,7,"늘푸른, 대진, 대청, 대치, 양재천, 탄천, 학여울",0,없음,3호선,,,,,1
학여울,7,"개포동, 대진, 대치, 양재천, 탄천, 학여울, 한티",0,없음,3호선,,,,,1
