역사명,호선,공원수,공원면적합산(㎡),도시자연공원수,공원목록,한강공원수,한강공원면적합산(㎡),한강공원목록
홍대입구,2호선,1,91578,0,와우근린공원,0,0,없음
합정,2호선,0,0,0,없음,1,148521,망원지구
당산,2호선,1,113921,0,선유도공원,2,850688,"양화지구, 여의도지구"
영등포구청,2호선,1,11248,0,당산,0,0,없음
문래,2호선,2,36436,0,"당산, 문래",0,0,없음
신도림,2호선,1,25188,0,문래,0,0,없음
대림(구로구청),2호선,2,24587,0,"구로, 대림",0,0,없음
구로디지털단지,2호선,0,0,0,없음,0,0,없음
신대방,2호선,2,530277,0,"보라매, 신림",0,0,없음
신림,2호선,2,129678,1,"관악산<시공원>, 장군봉<시공원>",0,0,없음
봉천,2호선,2,129678,1,"관악산<시공원>, 장군봉<시공원>",0,0,없음
